head	rel	tail	score
153	1	1521	-1.63E-12
153	1	1906	-7.79E-10
153	1	942	-8.89E-10
153	1	1428	-1.47E-09
153	1	1276	-1.42E-08
153	1	1041	-3.13E-06
153	1	1361	-3.65E-06
153	6	1276	-3.85E-06
153	1	1640	-4.01E-06
153	1	12	-5.77E-06
153	1	1616	-9.71E-06
153	6	1521	-3.93E-05
153	1	66	-5.03E-05
153	1	1185	-7.20E-05
153	1	1729	-8.39E-05
153	1	178	-0.000275207
154	6	1276	-2.52E-15
154	6	1521	-7.23E-11
154	6	1906	-5.37E-09
154	6	1361	-8.26E-09
154	6	1729	-1.24E-08
154	6	942	-1.49E-08
154	6	12	-3.81E-08
154	6	1428	-5.53E-08
154	6	1640	-8.40E-07
154	6	975	-1.14E-06
154	6	1209	-5.77E-06
154	5	975	-7.30E-06
154	5	1912	-1.62E-05
154	6	448	-1.86E-05
155	1	1521	-1.04E-07
155	6	975	-1.96E-07
155	5	1048	-5.67E-06
155	1	1276	-7.40E-06
155	1	1906	-2.29E-05
155	6	1107	-4.36E-05
155	1	942	-4.47E-05
155	6	437	-6.11E-05
155	1	178	-8.99E-05
155	5	395	-0.000117013
156	1	1521	-5.60E-14
156	1	1906	-2.73E-10
156	1	942	-1.22E-09
156	6	1276	-1.32E-09
156	1	1428	-6.60E-09
156	1	1276	-1.34E-07
156	6	975	-1.40E-07
156	6	1107	-1.25E-06
156	6	185	-1.71E-06
156	1	1361	-3.58E-06
156	6	1435	-3.58E-06
156	1	12	-1.28E-05
156	1	1041	-1.91E-05
156	1	1616	-2.24E-05
157	6	185	-0.001959834
157	6	975	-0.003896669
157	6	1107	-0.004197187
157	6	1276	-0.00632904
157	5	1048	-0.006755748
157	6	1435	-0.007075465
157	1	163	-0.007253435
157	3	185	-0.012369315
157	5	975	-0.012988266
157	8	117	-0.014309201
157	6	1415	-0.016815567
158	1	1521	-8.21E-24
158	6	1276	-3.15E-21
158	1	1906	-3.36E-17
158	1	942	-6.32E-17
158	1	1428	-9.06E-16
158	1	1276	-7.50E-14
158	6	975	-4.97E-13
158	6	1521	-2.71E-11
158	6	1906	-1.28E-10
158	1	1361	-2.38E-10
158	1	1640	-9.58E-10
158	6	12	-9.88E-10
158	1	1041	-1.54E-09
158	1	12	-2.37E-09
158	6	1107	-3.70E-09
158	6	1435	-7.07E-09
158	1	1616	-2.34E-08
159	1	1521	-1.35E-13
159	1	1906	-5.46E-09
159	1	1276	-1.45E-08
159	1	66	-1.91E-07
159	1	1428	-4.52E-07
159	1	942	-1.04E-06
159	6	392	-1.33E-06
159	6	719	-1.13E-05
159	6	437	-1.80E-05
159	3	185	-3.41E-05
159	1	178	-3.72E-05
160	6	1276	-7.23E-11
160	6	1521	-7.29E-08
160	6	1906	-3.12E-07
160	6	975	-2.18E-06
160	6	1361	-3.54E-06
160	6	1428	-4.44E-06
160	1	1521	-6.48E-06
160	6	12	-1.39E-05
160	6	1729	-2.41E-05
160	6	942	-4.11E-05
160	6	1209	-0.000169195
160	6	85	-0.000320466
160	6	1640	-0.000352514
160	6	448	-0.0003731
161	1	1521	-4.44E-11
161	1	1906	-4.44E-08
161	1	942	-4.47E-08
161	6	1276	-1.58E-07
161	1	1428	-5.05E-07
161	1	1276	-2.85E-06
161	6	1521	-1.80E-05
161	1	1361	-7.00E-05
161	1	12	-7.22E-05
161	1	1041	-8.65E-05
161	6	975	-0.000106637
161	6	1906	-0.000155789
161	6	12	-0.000216398
161	1	1616	-0.000370563
161	1	448	-0.000597919
162	6	1276	-1.62E-13
162	1	1521	-4.44E-10
162	6	1521	-5.80E-09
162	6	1906	-1.67E-08
162	6	1361	-5.75E-08
162	6	12	-1.99E-07
162	1	1906	-4.30E-07
162	1	1276	-4.59E-07
162	6	975	-6.12E-07
162	6	1729	-7.33E-07
162	1	942	-1.03E-06
162	6	1428	-1.32E-06
162	1	1428	-2.69E-06
162	6	1640	-4.90E-06
162	6	942	-8.35E-06
162	6	448	-8.23E-05
163	6	1276	-1.37E-09
163	6	1616	-1.78E-08
163	6	975	-1.86E-08
163	6	1521	-6.26E-08
163	6	1415	-5.34E-07
163	6	1640	-1.18E-06
163	6	1428	-1.26E-06
163	6	1906	-3.19E-06
163	6	1361	-3.62E-06
163	6	12	-2.27E-05
163	6	185	-2.39E-05
163	6	1552	-4.67E-05
163	6	1435	-5.94E-05
164	6	1107	-9.01E-08
164	6	314	-3.87E-05
165	1	942	-2.09E-26
165	1	1521	-4.10E-26
165	1	1276	-1.15E-21
165	1	1906	-1.58E-20
165	1	1428	-8.43E-20
165	1	1361	-3.36E-17
165	1	1729	-6.48E-17
165	1	1041	-1.83E-16
165	1	1640	-8.54E-16
165	1	12	-4.40E-15
165	1	1185	-1.36E-14
165	6	1276	-9.32E-14
165	1	1616	-2.93E-12
165	1	1552	-3.44E-11
165	1	1924	-2.89E-10
165	1	1429	-9.96E-10
166	1	1521	-6.82E-16
166	1	942	-1.90E-13
166	6	1276	-6.95E-12
166	1	1276	-1.56E-11
166	1	1906	-2.41E-11
166	6	975	-9.49E-10
166	1	1428	-5.92E-09
166	6	1906	-1.85E-07
166	6	1521	-2.79E-07
166	1	12	-3.21E-06
166	1	1041	-3.26E-06
166	1	1361	-3.54E-06
166	1	178	-4.25E-06
167	1	1521	-2.91E-08
167	6	1276	-6.35E-07
167	1	1906	-1.85E-05
167	6	975	-0.000234384
167	6	1521	-0.000410223
167	5	1920	-0.000525306
167	7	975	-0.000586416
167	1	1428	-0.000637458
167	7	1107	-0.000898954
167	6	12	-0.001037805
167	7	1887	-0.001552482
167	7	85	-0.001991063
167	6	1906	-0.00208342
167	7	719	-0.002120737
167	1	66	-0.002555089
167	7	1415	-0.002744309
167	7	1435	-0.002786003
168	5	622	-3.68E-07
168	6	975	-4.40E-07
168	5	393	-4.56E-07
168	5	659	-6.55E-07
168	6	1107	-1.02E-06
168	5	975	-1.71E-06
168	5	683	-2.57E-06
168	5	85	-2.60E-06
168	5	1912	-2.73E-06
168	5	391	-1.02E-05
168	5	321	-1.09E-05
169	1	1521	-3.39E-08
169	1	942	-1.52E-06
169	1	1906	-1.10E-05
169	6	1276	-0.000302249
169	6	1107	-0.00032293
169	3	185	-0.000546515
169	6	261	-0.000574251
169	1	1276	-0.000893769
169	1	1428	-0.00110167
169	1	178	-0.001279329
170	5	921	-2.71E-05
170	5	1048	-8.97E-05
170	5	1715	-0.000212613
170	5	2013	-0.000254605
170	5	2007	-0.000274636
170	6	32	-0.000457061
170	5	1526	-0.000476726
170	5	1377	-0.000619977
170	6	185	-0.000772525
170	6	39	-0.00079001
170	5	731	-0.000851328
170	5	1146	-0.000960407
170	5	372	-0.001093274
171	1	1521	-2.21E-14
171	6	437	-1.49E-13
171	6	975	-5.53E-13
171	6	1107	-1.32E-10
171	1	1906	-1.92E-09
171	6	719	-4.04E-08
171	1	1428	-4.75E-08
171	6	32	-5.38E-08
171	1	942	-5.75E-08
171	6	248	-6.94E-08
171	6	512	-7.81E-08
171	1	1276	-8.32E-08
171	6	39	-9.37E-08
171	6	1435	-3.22E-07
171	6	392	-4.40E-07
171	6	314	-7.64E-07
172	1	1521	-3.86E-18
172	1	942	-8.26E-16
172	1	1276	-1.09E-13
172	1	1906	-1.29E-13
172	1	1428	-4.38E-13
172	1	1361	-7.94E-11
172	1	1041	-4.61E-10
172	1	1729	-4.90E-10
172	1	12	-6.23E-10
172	1	1640	-8.67E-10
172	1	1185	-1.21E-08
172	1	1616	-1.35E-08
172	1	1552	-1.06E-07
172	1	1924	-2.60E-06
172	1	448	-6.21E-06
173	5	921	-2.06E-05
173	5	1048	-6.60E-05
173	5	731	-0.000108492
173	5	1715	-0.000108619
173	5	1802	-0.000255401
173	5	1430	-0.000257171
173	5	1934	-0.00026112
173	5	1731	-0.00026852
173	5	1735	-0.000402065
173	5	372	-0.000489558
173	5	1293	-0.000522602
174	6	975	-1.25E-11
174	6	1107	-7.15E-11
174	6	1435	-7.25E-08
174	6	185	-9.43E-08
174	1	163	-1.04E-07
174	6	437	-2.82E-07
174	5	1048	-4.21E-07
174	6	1276	-4.21E-07
174	6	39	-6.81E-07
174	6	107	-1.04E-06
174	6	248	-4.01E-06
174	6	912	-4.86E-06
174	6	95	-4.90E-06
175	6	975	-1.72E-10
175	6	1107	-2.38E-08
175	6	1276	-6.84E-08
175	6	1435	-2.94E-07
175	1	1521	-1.04E-06
175	5	1048	-4.46E-06
175	6	185	-7.28E-06
175	6	39	-1.71E-05
175	6	107	-2.51E-05
175	1	329	-3.33E-05
175	1	66	-4.33E-05
175	1	163	-4.56E-05
175	5	1912	-7.33E-05
175	5	975	-8.23E-05
176	1	1521	-2.25E-09
176	1	1428	-1.33E-06
176	1	1906	-2.32E-06
176	6	437	-7.79E-06
176	1	1616	-8.46E-06
176	1	1552	-5.55E-05
176	6	719	-8.45E-05
176	1	1276	-9.93E-05
176	5	1048	-0.0001065
176	1	12	-0.00014358
176	6	32	-0.000174878
176	1	1361	-0.000230465
176	6	39	-0.000539294
176	6	975	-0.000757653
176	1	8	-0.000850472
177	1	1521	-1.88E-11
177	1	1906	-3.50E-07
177	1	1276	-9.04E-07
177	1	1428	-9.81E-07
177	1	1616	-1.36E-06
177	6	975	-5.51E-05
177	1	66	-8.69E-05
177	1	1361	-9.60E-05
177	1	1552	-9.93E-05
177	1	12	-0.000105568
177	7	512	-0.000804272
177	7	206	-0.000901723
177	7	1107	-0.000903376
177	7	31	-0.000977725
177	7	458	-0.001358485
178	6	1276	-1.82E-08
178	6	975	-2.24E-07
178	5	1048	-3.99E-06
178	6	1361	-1.88E-05
178	6	1906	-1.93E-05
178	6	1521	-2.03E-05
178	6	12	-9.02E-05
178	5	921	-0.000122689
178	5	1715	-0.000271942
178	5	2007	-0.000286525
178	5	1802	-0.000311851
178	6	1912	-0.000332839
178	6	1428	-0.000446865
178	5	1731	-0.000481127
178	5	1812	-0.000491423
178	6	1616	-0.000616393
178	5	1735	-0.000675123
178	5	1920	-0.000740524
178	6	245	-0.000842145
178	5	1632	-0.000894513
178	5	888	-0.000963459
178	7	1248	-0.001088424
179	1	1521	-0.000538097
179	6	32	-0.002719828
179	6	975	-0.003704046
179	6	1435	-0.005146142
179	6	1107	-0.00780123
179	6	39	-0.008039931
179	7	39	-0.008392538
179	6	437	-0.008592712
179	8	329	-0.008834658
179	5	1288	-0.008979357
179	1	1906	-0.009646052
179	8	66	-0.011613319
179	7	698	-0.015113497
179	1	178	-0.017259397
180	6	437	-8.89E-07
180	6	392	-9.21E-06
180	1	1521	-1.24E-05
180	6	248	-2.17E-05
180	6	32	-3.25E-05
180	1	66	-3.72E-05
180	7	413	-4.01E-05
180	6	1488	-5.32E-05
180	6	241	-6.06E-05
180	5	921	-7.04E-05
180	6	216	-7.10E-05
180	6	719	-7.89E-05
180	6	159	-9.86E-05
180	6	1161	-0.000103354
181	1	942	-7.77E-21
181	1	1521	-9.37E-20
181	1	1276	-3.43E-17
181	1	1906	-3.54E-15
181	1	1428	-9.91E-14
181	6	1276	-2.51E-12
181	1	1361	-4.70E-12
181	1	1041	-1.82E-11
181	6	1521	-5.49E-11
181	1	12	-1.01E-10
181	1	1640	-1.24E-10
181	1	1185	-2.30E-10
181	6	942	-2.59E-10
181	1	1729	-3.93E-10
181	6	1906	-1.71E-09
181	6	1361	-1.40E-08
181	6	12	-6.13E-08
181	6	1428	-3.26E-07
181	1	1616	-3.78E-07
182	6	1276	-8.38E-08
182	6	1361	-7.43E-06
182	6	1521	-7.49E-06
182	6	1906	-5.33E-05
182	6	12	-6.22E-05
182	6	975	-0.000121896
182	6	1428	-0.000172533
182	6	8	-0.001050062
182	6	1616	-0.001411162
183	6	437	-2.16E-11
183	1	1521	-1.13E-10
183	6	32	-1.72E-08
183	1	1906	-4.13E-07
183	6	1107	-6.27E-07
183	6	201	-1.08E-06
183	6	248	-1.21E-06
183	1	66	-1.65E-06
183	1	1276	-4.04E-06
183	6	719	-6.73E-06
183	6	39	-1.02E-05
183	6	314	-1.52E-05
184	1	1521	-5.71E-18
184	6	1276	-2.72E-15
184	1	1906	-6.43E-12
184	1	1428	-1.68E-11
184	6	975	-4.49E-11
184	6	1521	-1.09E-09
184	6	1361	-1.20E-09
184	6	1906	-3.61E-09
184	1	1276	-6.36E-09
184	1	1616	-9.84E-09
184	6	12	-2.51E-08
184	1	942	-7.80E-08
184	1	66	-7.88E-08
184	1	163	-3.26E-07
184	1	329	-4.01E-07
184	1	69	-1.78E-06
184	1	1552	-2.00E-06
185	6	32	-3.64E-07
185	6	1415	-4.31E-07
185	6	975	-4.80E-07
185	6	437	-1.28E-06
185	6	185	-1.86E-06
185	1	139	-2.66E-06
185	6	1107	-4.58E-06
185	6	719	-5.47E-06
185	6	683	-5.54E-06
185	6	750	-6.92E-06
185	6	39	-7.77E-06
185	5	1048	-1.53E-05
185	6	1015	-3.15E-05
186	1	1521	-4.09E-05
186	6	185	-0.000539182
186	7	95	-0.001104001
186	1	1906	-0.003345167
186	7	447	-0.004820006
186	6	975	-0.00631927
186	1	1616	-0.006609016
187	1	1521	-4.85E-13
187	1	1906	-1.65E-09
187	1	942	-6.10E-09
187	6	1276	-2.48E-08
187	1	1428	-3.44E-08
187	1	1276	-2.52E-07
187	6	1521	-5.67E-06
187	1	1361	-6.63E-06
187	1	12	-9.41E-06
187	1	1041	-1.11E-05
187	1	1640	-5.99E-05
187	6	12	-6.33E-05
187	1	1616	-0.000129045
187	1	66	-0.000139509
187	6	1906	-0.000153495
187	1	1185	-0.000259668
187	6	1361	-0.000382671
187	6	975	-0.000583644
188	1	1521	-4.32E-17
188	1	1906	-4.84E-13
188	1	1428	-1.79E-12
188	1	1276	-8.58E-12
188	1	942	-3.83E-11
188	6	1276	-8.71E-11
188	6	975	-1.06E-09
188	1	1616	-1.03E-08
188	1	1361	-1.46E-08
188	1	1640	-4.08E-08
188	1	12	-6.46E-08
188	1	1041	-8.70E-07
188	1	1552	-8.75E-07
188	6	1906	-3.13E-06
188	6	1435	-4.12E-06
188	6	1521	-5.16E-06
189	6	975	-8.74E-11
189	6	1276	-7.08E-10
189	6	1107	-2.38E-08
189	6	1435	-7.66E-08
189	6	185	-1.06E-06
189	6	39	-7.58E-06
189	6	1415	-2.50E-05
189	5	1048	-3.04E-05
189	6	107	-7.05E-05
189	7	185	-8.44E-05
189	6	1521	-8.62E-05
190	1	1521	-1.41E-06
190	5	1048	-8.23E-06
190	5	2007	-4.29E-05
190	1	66	-6.30E-05
190	6	975	-0.000124262
190	6	392	-0.000140123
190	1	1906	-0.000150975
190	5	1315	-0.000194308
190	5	1715	-0.000226728
190	5	921	-0.000234287
190	1	39	-0.000275961
190	5	1021	-0.000369168
190	6	1435	-0.000421793
190	6	1107	-0.000660546
190	5	1735	-0.000687648
190	5	1506	-0.000731405
190	1	329	-0.000943146
190	5	1632	-0.001122906
190	5	888	-0.001188761
190	6	719	-0.001199188
191	1	1521	-6.15E-10
191	1	1276	-9.03E-09
191	1	942	-1.84E-08
191	6	1276	-2.01E-07
191	1	1906	-2.53E-07
191	6	975	-2.24E-06
191	1	1428	-3.66E-06
191	1	178	-2.85E-05
191	6	1906	-4.97E-05
191	1	1640	-0.000313026
191	6	1521	-0.00031847
191	1	1361	-0.000371511
191	1	12	-0.000377867
191	1	8	-0.000471183
192	5	1048	-9.74E-06
192	5	975	-5.05E-05
192	5	1315	-0.000416205
192	6	437	-0.000690371
192	1	163	-0.000782179
192	5	1383	-0.000855265
192	6	1107	-0.00189575
192	5	395	-0.002000967
192	6	975	-0.002721805
192	1	329	-0.003179285
193	1	1521	-8.09E-31
193	6	1276	-9.86E-29
193	1	942	-3.48E-26
193	6	975	-3.59E-23
193	1	1906	-3.97E-23
193	1	1276	-1.00E-21
193	1	1428	-2.36E-20
193	6	1107	-9.87E-17
193	1	1640	-5.48E-14
193	6	1435	-1.36E-13
193	6	1906	-2.67E-13
193	1	1361	-6.07E-13
193	1	1041	-7.50E-13
193	1	12	-3.64E-12
193	6	1521	-5.43E-12
193	1	178	-1.77E-11
194	1	1521	-4.24E-09
194	6	1276	-1.08E-06
194	6	975	-1.19E-06
194	1	1906	-3.14E-06
194	1	1428	-5.08E-05
194	6	1107	-0.000168679
194	6	1435	-0.000277979
194	1	66	-0.000614783
194	6	1521	-0.000737542
194	1	1276	-0.000864735
194	5	1048	-0.001046143
194	6	185	-0.001076
194	6	1906	-0.001183667
194	1	1616	-0.001885859
195	1	1521	-4.69E-11
195	1	942	-2.14E-08
195	1	1906	-5.13E-08
195	1	1276	-5.97E-08
195	6	975	-8.92E-07
195	1	1428	-3.31E-06
195	6	1107	-8.43E-06
195	6	185	-6.73E-05
195	6	1435	-7.69E-05
195	6	1276	-8.94E-05
195	1	66	-0.000213357
195	6	683	-0.000239936
195	6	512	-0.000329776
195	6	107	-0.000412116
195	1	178	-0.000416347
196	1	1521	-1.31E-15
196	6	1276	-1.28E-14
196	1	1906	-1.66E-11
196	1	1428	-4.59E-11
196	6	1521	-9.29E-11
196	1	942	-1.34E-10
196	1	1276	-5.27E-10
196	6	1906	-2.94E-09
196	6	1361	-4.74E-09
196	6	975	-9.06E-09
196	6	12	-1.54E-08
196	1	1361	-8.33E-08
196	6	1428	-1.39E-07
196	1	1616	-2.65E-07
196	6	1616	-2.67E-07
197	1	1521	-1.28E-28
197	1	1906	-2.53E-20
197	1	942	-5.25E-19
197	1	1428	-1.07E-18
197	1	1276	-6.09E-18
197	6	975	-2.15E-16
197	6	1276	-3.31E-15
197	6	1107	-1.03E-12
197	1	1361	-1.51E-12
197	5	1048	-7.87E-12
197	1	12	-8.98E-12
197	1	1640	-9.24E-12
197	1	1616	-1.18E-11
197	6	1435	-4.95E-11
197	1	1041	-3.83E-10
197	1	66	-2.72E-09
197	1	1552	-3.49E-09
198	1	1521	-1.24E-13
198	1	1906	-9.33E-10
198	6	1107	-1.02E-09
198	6	975	-2.31E-09
198	6	1276	-2.33E-09
198	6	1435	-2.16E-08
198	1	1428	-1.41E-07
198	6	185	-1.21E-06
198	1	66	-5.58E-06
198	1	942	-1.41E-05
198	1	1276	-1.88E-05
198	5	1920	-1.92E-05
198	5	1048	-1.97E-05
198	6	719	-2.11E-05
198	7	975	-3.03E-05
199	6	1276	-5.34E-10
199	6	975	-1.35E-07
199	6	1107	-1.33E-06
199	5	1048	-1.48E-05
199	6	1906	-5.23E-05
199	6	1521	-5.66E-05
199	1	1521	-9.66E-05
199	6	12	-0.000176827
199	6	1435	-0.000237123
199	6	185	-0.000263681
199	5	2007	-0.000356778
199	6	107	-0.000593315
199	6	1209	-0.000643388
200	6	1276	-1.74E-06
200	1	1521	-1.00E-05
200	6	975	-1.54E-05
200	6	1107	-0.000757449
200	6	1521	-0.001093245
200	6	1435	-0.001130634
200	5	1048	-0.001347881
200	1	1906	-0.001639509
200	6	1906	-0.001802089
200	6	12	-0.002880473
200	6	185	-0.004675064
200	1	66	-0.006093235
200	6	392	-0.010019559
200	6	1361	-0.013119821
200	6	261	-0.013440635
200	7	975	-0.015660878
200	6	938	-0.017545436
201	1	942	-8.77E-20
201	1	1521	-1.08E-18
201	1	1276	-4.10E-17
201	1	1428	-7.23E-14
201	1	1906	-9.67E-14
201	1	1041	-1.06E-11
201	1	1640	-1.56E-11
201	1	1361	-2.32E-11
201	1	1729	-3.02E-11
201	1	12	-2.44E-10
201	1	1185	-6.89E-10
201	1	1616	-1.32E-07
201	1	448	-4.49E-07
202	1	1521	-9.23E-07
202	6	1161	-1.39E-05
202	6	1435	-3.10E-05
202	1	1906	-4.55E-05
202	6	1107	-0.000100079
202	6	975	-0.000122849
202	6	392	-0.000141506
202	1	329	-0.000489174
202	1	66	-0.000670843
202	1	942	-0.000718219
202	1	178	-0.000938188
203	6	1276	-1.55E-07
203	6	1107	-1.04E-06
203	6	975	-1.51E-05
203	6	1435	-0.00018934
203	6	1209	-0.000270402
203	6	1906	-0.000421492
203	6	1521	-0.00089031
203	6	942	-0.000926057
203	6	719	-0.000937183
203	6	329	-0.00130896
203	6	129	-0.001400885
204	6	975	-3.16E-07
204	6	1107	-4.84E-06
204	6	185	-4.41E-05
204	6	437	-7.29E-05
204	6	107	-8.16E-05
204	6	1435	-0.000196516
204	6	39	-0.00025584
204	6	95	-0.000421303
205	6	1276	-9.16E-12
205	1	1521	-1.74E-10
205	6	975	-7.88E-08
205	6	1521	-1.06E-07
205	1	1906	-1.76E-07
205	6	1906	-1.33E-06
205	6	12	-2.02E-06
205	6	1361	-4.05E-06
205	6	1107	-5.95E-06
205	6	1435	-7.04E-06
205	1	1428	-8.51E-06
205	1	66	-2.60E-05
205	6	185	-6.20E-05
205	1	163	-8.35E-05
206	6	437	-5.93E-09
206	6	32	-4.36E-06
206	6	248	-2.87E-05
206	6	39	-3.26E-05
206	6	719	-3.33E-05
206	5	1048	-5.83E-05
206	6	201	-0.000113481
206	6	216	-0.000115726
206	3	185	-0.000143808
206	6	464	-0.000205997
206	6	1488	-0.000242204
206	6	1107	-0.000308069
206	6	975	-0.000322584
206	6	392	-0.000383688
206	6	31	-0.000423011
206	3	437	-0.000591223
207	6	1276	-4.25E-06
207	6	975	-4.43E-05
207	6	1435	-0.000430002
207	5	1912	-0.001383355
207	5	1343	-0.001663925
207	6	185	-0.00223289
207	5	393	-0.00226145
207	6	392	-0.002748812
207	6	1906	-0.003038662
207	6	1209	-0.003374261
208	1	1521	-1.27E-09
208	1	1428	-1.73E-07
208	1	942	-2.05E-07
208	1	1276	-2.59E-06
208	1	1906	-2.90E-06
208	5	1048	-1.61E-05
208	1	1041	-1.73E-05
208	1	1640	-1.97E-05
208	5	622	-4.86E-05
208	1	12	-8.65E-05
208	5	1715	-0.000104014
208	5	2007	-0.000133663
208	5	395	-0.00018091
208	1	1361	-0.000189386
208	5	372	-0.000253728
209	6	1276	-1.75E-13
209	6	1521	-6.98E-09
209	6	1906	-1.90E-08
209	6	942	-4.61E-07
209	1	1521	-5.02E-07
209	6	12	-6.11E-07
209	6	1361	-1.51E-06
209	6	1428	-3.62E-06
209	6	1209	-6.44E-06
209	6	1729	-7.48E-06
209	6	975	-1.88E-05
209	6	448	-1.91E-05
210	1	1521	-4.66E-07
210	1	1906	-0.000115133
210	7	975	-0.000482207
210	1	1428	-0.00058825
210	1	66	-0.000611027
210	7	329	-0.000874325
