基因	关系	基因
RXRA	相互作用	NRIP1
IFNAR2	相互作用	JAK1
EGR1	相互作用	GRB2
ITGA4	相互作用	SYK
TNFRSF1A	相互作用	UBE2I
ADCY5	相互作用	RGS2
HLA-B	相互作用	SOD2
ATP1A1	相互作用	TNFRSF1B
HSP90AA1	相互作用	NR3C2
ACAT1	相互作用	HLA-C
ALB	相互作用	CST3
COL1A1	相互作用	VWF
NF1	相互作用	CASK
FASLG	相互作用	TNFRSF10B
BCL6	相互作用	MAPK1
FOS	相互作用	JUNB
CEBPB	相互作用	CREBBP
ACTB	相互作用	HSP90AB1
ALOX12	相互作用	LMNA
CTNNB1	相互作用	ELK1
IAPP	相互作用	PCSK2
CAPN1	相互作用	ITGB3
CCND1	相互作用	JUN
DCTN1	相互作用	PLK1
CD44	相互作用	MMP7
ESRRA	相互作用	SRC
JUNB	相互作用	SMAD3
GRB2	相互作用	LMNA
CDC42	相互作用	MAPK9
TOP1	相互作用	VCP
CDH5	相互作用	PTPN11
PPP2R1A	相互作用	PPP2R2A
CRP	相互作用	NFKB2
MMP9	相互作用	TGFB1
NEDD8	相互作用	YBX3
PAK1	相互作用	RAF1
BMPR2	相互作用	TGFBR1
NFE2L2	相互作用	PPARG
SLC2A4	相互作用	UBE2I
HMGB1	相互作用	TLR4
ERBB2	相互作用	PIK3C2A
BIK	相互作用	MCL1
HNRNPA2B1	相互作用	RPS19
RPSA	相互作用	TUBA1A
HLA-C	相互作用	PCNA
GNA12	相互作用	HSP90AA1
GRB2	相互作用	NCKIPSD
APOH	相互作用	GRB2
CSF1R	相互作用	PIK3R2
GRB2	相互作用	HNRNPA2B1
IDH2	相互作用	SLC2A4
ESR1	相互作用	JUN
CREB1	相互作用	JUN
CD5	相互作用	PRKCG
POLA1	相互作用	TP53
CDK6	相互作用	CTNNB1
PTK2	相互作用	SELE
B2M	相互作用	MR1
BRCA1	相互作用	TUBA4A
PML	相互作用	PSME3
TP53	相互作用	YWHAZ
NRG1	相互作用	HSPD1
ACTB	相互作用	MME
DRD1	相互作用	GRIN1
JUN	相互作用	MDM2
LRP2	相互作用	TTR
CREBBP	相互作用	ESR1
BARD1	相互作用	AURKB
CASP2	相互作用	EEF1A1
ERBB3	相互作用	JAK2
DRD4	相互作用	KCNJ5
ACTA2	相互作用	EP300
GABRA3	相互作用	PIK3R1
CBS	相互作用	EHHADH
CFTR	相互作用	HSPA5
PRKDC	相互作用	WRN
HDAC1	相互作用	CDK5R1
ADCY2	相互作用	ADCY5
CAV1	相互作用	MMP14
PPARG	相互作用	TNP1
ERBB3	相互作用	ZAP70
FN1	相互作用	PECAM1
HSP90AA1	相互作用	MAPK1
ETS1	相互作用	MAPK3
HSP90AB1	相互作用	RPSA
PLAT	相互作用	MAPK3
FYN	相互作用	WAS
SMS	相互作用	TFE3
CALM1	相互作用	TNNI3
BRCA1	相互作用	JAK1
ITPR2	相互作用	RAC1
CASP8	相互作用	CFLAR
HSP90AB1	相互作用	MAP2K5
AR	相互作用	HDAC1
AKT1	相互作用	CREBBP
FYN	相互作用	KDR
CCNG1	相互作用	MDM2
AKT1	相互作用	CDC37
CFTR	相互作用	PPIB
COL5A1	相互作用	DCN
APP	相互作用	PSEN1
CDKN2A	相互作用	RPL11
CCND1	相互作用	CDKN1A
GLUD1	相互作用	MAP3K1
ADORA2A	相互作用	CALM1
NFATC3	相互作用	MAPK8
SRC	相互作用	SYK
TLR2	相互作用	TIRAP
FABP1	相互作用	FLNA
ATM	相互作用	RRM2B
ITGB4	相互作用	VIM
RELA	相互作用	SP1
GHR	相互作用	PTPN6
EGF	相互作用	GRB2
JUN	相互作用	PPP3CA
MAPK1	相互作用	RB1
BAK1	相互作用	BCL2
HLA-B	相互作用	PREP
FTH1	相互作用	CXCR4
SGK1	相互作用	IKBKG
AR	相互作用	NR5A1
SLC2A4	相互作用	RAB7A
CSF2RB	相互作用	JAK1
MAPK8	相互作用	RPS6KB1
A2M	相互作用	UMPS
SDHB	相互作用	SDHC
NPPA	相互作用	NPR1
CCR5	相互作用	GNAI1
APP	相互作用	MAPK8IP2
GRK2	相互作用	PRKACA
FAS	相互作用	CFLAR
CISH	相互作用	KIT
CDC20	相互作用	TGFBR1
FH	相互作用	EIF6
MAPK8	相互作用	MAPK8IP1
TP53	相互作用	SIN3A
B2M	相互作用	PCOLCE
PIK3CA	相互作用	PRKCD
RPS6	相互作用	CUL4A
AR	相互作用	RB1
GRK2	相互作用	CCR4
GSK3B	相互作用	TP53
MYC	相互作用	OAT
IRF8	相互作用	RELA
MDM2	相互作用	PML
MAP2K2	相互作用	RAF1
ITGA4	相互作用	TFRC
BCL2L1	相互作用	CFLAR
AHR	相互作用	ESR1
MAP3K1	相互作用	RAF1
BAK1	相互作用	MCL1
HSP90AA1	相互作用	KDR
CEBPB	相互作用	MAPK3
APOH	相互作用	F12
MARK3	相互作用	PIM1
CD19	相互作用	PIK3R1
SMAD3	相互作用	PYGL
SMN1	相互作用	TP53
MMP2	相互作用	THBS1
DLG4	相互作用	GRB2
EGFR	相互作用	KRT7
ASL	相互作用	TUFM
MAPK8	相互作用	DUSP22
PPARA	相互作用	RXRA
SNCA	相互作用	YWHAB
NFKBIA	相互作用	HDAC4
SMARCA4	相互作用	NCOR1
JAK1	相互作用	PLAUR
BTK	相互作用	MYD88
HRAS	相互作用	NF1
FAS	相互作用	DAXX
PNP	相互作用	TP53
GRB2	相互作用	MUC1
IFNAR2	相互作用	IL10
CCNB1	相互作用	KAT5
ITGB1	相互作用	ITGB3
LAMA3	相互作用	SIRT1
ELN	相互作用	MMP9
RPSA	相互作用	NPM1
CREBBP	相互作用	THRA
C3	相互作用	MASP2
F2RL1	相互作用	PRTN3
BCL2A1	相互作用	PMAIP1
BAD	相互作用	BAX
CISH	相互作用	PRKCA
ABL1	相互作用	FYN
SLC25A4	相互作用	EEF1A1
PRKCA	相互作用	PRKCZ
CTSD	相互作用	IGF2R
MAP3K5	相互作用	YWHAZ
VCAN	相互作用	SELL
KCNJ11	相互作用	LDHA
NEDD8	相互作用	SDHA
TOP2A	相互作用	TP53
HNF4A	相互作用	RB1
APOA1	相互作用	VKORC1
DNMT1	相互作用	SP1
CFH	相互作用	CFHR1
ELANE	相互作用	SERPINF2
ACLY	相互作用	ESR1
ACO2	相互作用	ITGA4
IGF1R	相互作用	INS
CDK2	相互作用	PGR
GAPDH	相互作用	HSP90AA1
CAPN2	相互作用	CAST
AHR	相互作用	RB1
MAP3K1	相互作用	MAPK9
CAV3	相互作用	GNAS
NPM1	相互作用	TBL2
NEDD8	相互作用	TFE3
ABL1	相互作用	GAD1
HLA-C	相互作用	TUFM
FLNA	相互作用	TCF4
ACTG1	相互作用	APOE
PTCH1	相互作用	SHH
CALCR	相互作用	CALM1
ALB	相互作用	GABBR1
ALK	相互作用	HSPD1
ARF1	相互作用	ESR1
COL1A1	相互作用	THBS1
PTK2B	相互作用	MAPT
WAS	相互作用	WASF1
A2M	相互作用	SMN2
GADD45A	相互作用	RARA
RPL11	相互作用	VIM
HSP90AB1	相互作用	TRIM37
APOD	相互作用	ESR1
GRB2	相互作用	HADHB
APCS	相互作用	C1QA
IRS1	相互作用	YWHAB
APEX1	相互作用	HLA-B
LAMA3	相互作用	PLAT
EGR1	相互作用	HIF1A
GRB2	相互作用	UBE2I
RAC1	相互作用	VWF
SMAD3	相互作用	MEN1
CRP	相互作用	GLUD1
IGF2	相互作用	INSR
PCOLCE	相互作用	PLG
HSPD1	相互作用	NPM1
FN1	相互作用	SREBF2
AR	相互作用	SIRT1
NR1H2	相互作用	NRIP1
CSF3	相互作用	ELANE
ESR1	相互作用	PAK1
MAP3K1	相互作用	TP53
MMP3	相互作用	PLG
DSP	相互作用	KRT6A
AKT1	相互作用	EIF4EBP1
ACTG1	相互作用	WASF1
A2M	相互作用	APOE
ADRB3	相互作用	SRC
PRKCD	相互作用	YWHAZ
JUN	相互作用	MBTPS2
CASP9	相互作用	PRKCZ
CEBPB	相互作用	RARB
AR	相互作用	JUN
ARRB1	相互作用	PIK3C2A
GRB2	相互作用	PTPN6
EIF6	相互作用	PRKCB
BMPR2	相互作用	CTBP1
ACTB	相互作用	RPL11
MGMT	相互作用	PRKCA
GABRA1	相互作用	PRKCD
NDUFS3	相互作用	VCAM1
CS	相互作用	HLA-B
FYN	相互作用	CDKL5
RPS27A	相互作用	HDAC6
FOS	相互作用	SIRT1
CCND3	相互作用	CDKN1B
MS4A1	相互作用	HLA-A
EEF1A1	相互作用	TTR
ACVRL1	相互作用	TGFBR1
JUN	相互作用	TOP2A
ACVRL1	相互作用	NR1H2
NR1H2	相互作用	HDAC4
APP	相互作用	COL1A2
AKT2	相互作用	HSP90AA1
ITGB3	相互作用	THBS1
HRAS	相互作用	MAPK8
BRCA1	相互作用	NPM1
LDHA	相互作用	MAPK13
IRS1	相互作用	PIK3CA
CDC25B	相互作用	YWHAB
ITGA4	相互作用	FCGR2C
CTBP1	相互作用	SIN3A
ESR1	相互作用	TUBB1
FAS	相互作用	CASP8
CASP1	相互作用	ATXN3
FASLG	相互作用	PIK3R1
CASR	相互作用	PRKCG
GRB2	相互作用	MYH9
ACP5	相互作用	SPP1
CEBPB	相互作用	MAPK1
ESR1	相互作用	RB1
HIF1A	相互作用	PGK1
TGFB2	相互作用	TGFBR2
ERBB2	相互作用	IL6ST
SOX10	相互作用	SP1
IGF1	相互作用	IGFBP7
CPS1	相互作用	YWHAZ
CDK5	相互作用	TP53
HNF4A	相互作用	NRIP1
CREBBP	相互作用	MYC
FLT1	相互作用	PTK2
THRB	相互作用	NRIP1
ACTG1	相互作用	GSN
PTPN6	相互作用	TNFRSF1A
PGR	相互作用	STAT5B
FGF8	相互作用	FGFR3
KDR	相互作用	PTPN11
MCL1	相互作用	VDAC1
BCL2	相互作用	CASP3
MAPK8	相互作用	BMF
BLVRA	相互作用	PRKCZ
IFNB1	相互作用	JUN
ESR1	相互作用	RPL11
CEBPB	相互作用	IL4
EGFR	相互作用	FAH
AK1	相互作用	AKT1
ABL1	相互作用	APP
RET	相互作用	STAT3
POLB	相互作用	PRKCA
CD44	相互作用	FGF2
ITGA4	相互作用	LGALS1
CEBPB	相互作用	SMAD3
HNRNPA2B1	相互作用	CUL4A
PARP1	相互作用	CTSG
INSR	相互作用	STAT5B
CREBBP	相互作用	SREBF2
HNRNPK	相互作用	MAPK10
MAP3K1	相互作用	RPS6
HINT1	相互作用	SP1
DUSP3	相互作用	ZAP70
CS	相互作用	SGK1
F11	相互作用	SERPINF2
PLAU	相互作用	SERPINF2
MECP2	相互作用	SP1
SMAD3	相互作用	TLR4
CCNE1	相互作用	CDC25A
CHUK	相互作用	PTPN11
EGR1	相互作用	MAP2K5
APP	相互作用	PIK3R2
ESR1	相互作用	KRT6A
FLT1	相互作用	STAT3
EGR1	相互作用	NFATC1
PLAU	相互作用	VLDLR
APP	相互作用	CSRP1
GAPDH	相互作用	SMN2
MMP14	相互作用	TIMP3
ERBB4	相互作用	HSP90AB1
STAT1	相互作用	STAT3
C5	相互作用	C8B
HSPA1B	相互作用	AIFM1
NCF2	相互作用	NCF1
CD36	相互作用	PTK2
TFRC	相互作用	VCAM1
ERBB2	相互作用	ITK
SMAD3	相互作用	PIK3CA
ITGA2B	相互作用	TGM2
CDKN1B	相互作用	UBB
EIF6	相互作用	TPM3
ABL1	相互作用	CAT
SFN	相互作用	MAP3K5
DAXX	相互作用	UBB
ELN	相互作用	FBLN2
CASP6	相互作用	PSEN1
JAK2	相互作用	TYK2
GRIN1	相互作用	PRKCB
EGR1	相互作用	NT5E
IGF1R	相互作用	PIK3R2
MAPK1	相互作用	RPS6KB1
ARRB1	相互作用	PTH1R
PPARG	相互作用	HDAC4
CSF3R	相互作用	UBB
KIT	相互作用	PRKCB
MAPK1	相互作用	MAP2K1
CCK	相互作用	ENPEP
F5	相互作用	PROC
ATP2A2	相互作用	S100A1
ANXA5	相互作用	VCP
MAPK3	相互作用	VCP
GRK2	相互作用	FSHR
EEF1A1	相互作用	RPL15
CHUK	相互作用	SMAD2
IGF2	相互作用	IGFBP1
PDHA1	相互作用	PDHB
CP	相互作用	MPO
HSP90AA1	相互作用	CAMKK2
PML	相互作用	WRN
CTNNB1	相互作用	PROP1
RPL10	相互作用	RPS6
MBP	相互作用	MAPK1
BRCA1	相互作用	TUBG1
PRKDC	相互作用	SP1
AKT2	相互作用	XIAP
MDM2	相互作用	RYR2
IRS1	相互作用	PIK3R1
SMN1	相互作用	SMN2
HSP90AA1	相互作用	PRKCA
EGR1	相互作用	ASH1L
HSP90AA1	相互作用	TUBA1A
SERPINA3	相互作用	KLK3
HMGB1	相互作用	RELA
CRP	相互作用	CFH
FYN	相互作用	PECAM1
CD44	相互作用	HBEGF
PAWR	相互作用	WT1
ADCYAP1	相互作用	MME
EGFR	相互作用	SYN1
MAP3K5	相互作用	SMN1
TSC22D3	相互作用	RAF1
HMGB1	相互作用	PRKCA
DCN	相互作用	ELN
FASLG	相互作用	NCKIPSD
CDKN1A	相互作用	NFE2L2
HSPA5	相互作用	TNFRSF1B
HSP90AB1	相互作用	RPL11
ESR1	相互作用	TUBB3
CDC20	相互作用	YARS2
HSF1	相互作用	STAT1
CSF1R	相互作用	HSP90AA1
CRYAB	相互作用	HSPB1
SOX10	相互作用	UBE2I
EGFR	相互作用	PLSCR1
CASP3	相互作用	CDH1
AKT1	相互作用	CREB1
EIF4EBP1	相互作用	IRAK4
NQO1	相互作用	HSPA1B
FYN	相互作用	RPL10
EP300	相互作用	TCF4
SMAD2	相互作用	PML
C5AR1	相互作用	WAS
CSNK1A1	相互作用	TNFRSF1A
FASLG	相互作用	MMP7
AKT2	相互作用	NAMPT
MAPK8	相互作用	TNFRSF1A
CTPS1	相互作用	NEDD8
LRP1	相互作用	PDGFB
TNFRSF1A	相互作用	AFG3L2
CFTR	相互作用	LMNA
ARRB1	相互作用	P4HB
SERPINE1	相互作用	FBLN5
FLNA	相互作用	GP1BA
NR3C1	相互作用	HSPA1B
TTR	相互作用	VIM
PRKCE	相互作用	SRC
DES	相互作用	S100B
CDK4	相互作用	HSP90AB1
PRKCB	相互作用	TOP2A
F2	相互作用	F13A1
CSNK1A1	相互作用	AXIN1
A2M	相互作用	APP
KLF5	相互作用	GSK3B
HDAC6	相互作用	PRDX4
CA2	相互作用	SLC9A1
GRK2	相互作用	SRC
CD79A	相互作用	FN1
CFTR	相互作用	PSAP
KCNH2	相互作用	PRKACA
A2M	相互作用	CDC37
IGF1R	相互作用	YWHAZ
APP	相互作用	GPT2
TNNI3	相互作用	TNNT2
SRC	相互作用	YWHAB
AGTR1	相互作用	RAF1
NR3C1	相互作用	STAT3
FYN	相互作用	SYK
MMP9	相互作用	CXCL5
APP	相互作用	MITF
CLU	相互作用	NFKB1
ELK1	相互作用	MAPK8
MAPT	相互作用	SLC1A2
CCNE1	相互作用	CTNNB1
LMNA	相互作用	KAT5
PARP1	相互作用	TCF4
TP53	相互作用	SIRT1
EP300	相互作用	MAPK1
IL2RA	相互作用	NFKB1
RPS27A	相互作用	ANTXR2
FOS	相互作用	MITF
FYN	相互作用	STAT1
BCR	相互作用	SFN
BTK	相互作用	FYN
FLNA	相互作用	SHBG
CSNK1A1	相互作用	HMGB1
ERBB2	相互作用	MUC1
GRB2	相互作用	MERTK
CALR	相互作用	NR3C1
PIK3R1	相互作用	ABCG5
GFAP	相互作用	SMAD2
C1S	相互作用	VKORC1
CASP8	相互作用	IRF5
AR	相互作用	CASP3
PDE4D	相互作用	PIK3CG
FLNA	相互作用	VHL
IL6	相互作用	SH3GL2
IKBKB	相互作用	IRS1
KLK3	相互作用	FN1
BARD1	相互作用	NPM1
HSPA1B	相互作用	YWHAB
AR	相互作用	BRCA1
SMAD7	相互作用	ASH1L
CREBBP	相互作用	HOXA9
CASP1	相互作用	IL1B
ACTN1	相互作用	FOS
CREB1	相互作用	RPS6KA3
GP1BA	相互作用	SELP
SLC25A4	相互作用	BAX
GRIA2	相互作用	PRKCA
JAK1	相互作用	PRKCZ
AR	相互作用	HSP90AA1
CASP3	相互作用	PSEN2
CREB1	相互作用	HDAC8
YWHAZ	相互作用	SIK1
ADORA2A	相互作用	CNR1
SMAD2	相互作用	PAPPA
HSP90AB1	相互作用	PDGFRB
BAD	相互作用	MCL1
GSK3B	相互作用	MDM2
EP300	相互作用	RELA
CSF3R	相互作用	ELANE
MAPK1	相互作用	PTPN1
MKI67	相互作用	SMN1
HNF4A	相互作用	PPARGC1A
MAP2	相互作用	MARK3
LCK	相互作用	RPL11
NR3C1	相互作用	NCOA6
GABRA1	相互作用	GABRB3
ABL1	相互作用	PPP3CA
PPP2R1A	相互作用	RAB7A
LTA	相互作用	TUBA4A
CDKN2A	相互作用	MAPK8
CD247	相互作用	ZAP70
NR3C1	相互作用	NR2F2
CLU	相互作用	CTNNB1
SLC2A1	相互作用	UBE2I
EGFR	相互作用	UROD
MS4A2	相互作用	GRB2
NFKBIA	相互作用	RPS27A
ESR1	相互作用	PTPN1
XIAP	相互作用	NOD2
ADA	相互作用	DPP4
FLNA	相互作用	RAC1
CDK6	相互作用	CDKN2A
PTPN1	相互作用	STAT5B
SGK1	相互作用	SLC1A3
F2	相互作用	THBS1
ARRB1	相互作用	HDLBP
APOH	相互作用	CDC42
BCR	相互作用	YWHAB
CHUK	相互作用	NCOR1
ARRB1	相互作用	RPS27A
DAXX	相互作用	HBA2
BSG	相互作用	ITGB1
NEDD8	相互作用	AURKA
ABL1	相互作用	ITGB2
KRT19	相互作用	TUBG1
HOXA9	相互作用	NFKBIA
ELANE	相互作用	F5
MECP2	相互作用	SMARCE1
PRKCE	相互作用	IKBKG
IL2RG	相互作用	JAK1
MYC	相互作用	SPTLC1
TP53	相互作用	PSME3
HSP90AA1	相互作用	PGR
ALDH2	相互作用	HSPD1
