中医学症状	关系	疾病
肢体重	潜在联系	Biotinidase Deficiency
血痢	潜在联系	Biotinidase Deficiency
赤白带下	潜在联系	Biotinidase Deficiency
嘈杂	潜在联系	Biotinidase Deficiency
嘈杂呕吐	潜在联系	Biotinidase Deficiency
脐腹胀痛	潜在联系	Biotinidase Deficiency
身黄	潜在联系	Biotinidase Deficiency
肠鸣	潜在联系	Biotinidase Deficiency
肛门灼热	潜在联系	Biotinidase Deficiency
里急后重	潜在联系	Biotinidase Deficiency
便结	潜在联系	Biotinidase Deficiency
大便出血	潜在联系	Biotinidase Deficiency
大便干燥	潜在联系	Biotinidase Deficiency
多饮	潜在联系	Biotinidase Deficiency
呃逆	潜在联系	Biotinidase Deficiency
龋齿疼痛	潜在联系	Biotinidase Deficiency
乳房结节	潜在联系	Biotinidase Deficiency
乳房疼痛	潜在联系	Biotinidase Deficiency
乳房有块	潜在联系	Biotinidase Deficiency
乳房胀痛	潜在联系	Biotinidase Deficiency
乳癖	潜在联系	Biotinidase Deficiency
乳腺增生	潜在联系	Biotinidase Deficiency
乳痈	潜在联系	Biotinidase Deficiency
乳胀痛	潜在联系	Biotinidase Deficiency
胃热	潜在联系	Biotinidase Deficiency
胃酸过多	潜在联系	Biotinidase Deficiency
胃脘不舒	潜在联系	Biotinidase Deficiency
胃脘嘈杂	潜在联系	Biotinidase Deficiency
胃脘烧灼感	潜在联系	Biotinidase Deficiency
牙疼	潜在联系	Biotinidase Deficiency
牙龈出血	潜在联系	Biotinidase Deficiency
牙龈红肿	潜在联系	Biotinidase Deficiency
咽喉灼热	潜在联系	Biotinidase Deficiency
易饥	潜在联系	Biotinidase Deficiency
乳痈肿痛	潜在联系	Biotinidase Deficiency
乳蛾	潜在联系	Biotinidase Deficiency
胃火牙痛	潜在联系	Biotinidase Deficiency
口燥	潜在联系	Biotinidase Deficiency
五心烦热	潜在联系	Biotinidase Deficiency
消瘦	潜在联系	Biotinidase Deficiency
小儿疳积	潜在联系	Biotinidase Deficiency
暴注下泻	潜在联系	Biotinidase Deficiency
便血	潜在联系	Biotinidase Deficiency
肠风便血	潜在联系	Biotinidase Deficiency
齿鼻衄血	潜在联系	Biotinidase Deficiency
齿痛	潜在联系	Biotinidase Deficiency
赤缕红斑	潜在联系	Biotinidase Deficiency
痱疹鲜红	潜在联系	Biotinidase Deficiency
粉剌疙瘩	潜在联系	Biotinidase Deficiency
风眼烂弦	潜在联系	Biotinidase Deficiency
肌肤红	潜在联系	Biotinidase Deficiency
睑弦赤烂	潜在联系	Biotinidase Deficiency
咳血	潜在联系	Biotinidase Deficiency
两腮肿痛	潜在联系	Biotinidase Deficiency
面赤	潜在联系	Biotinidase Deficiency
尿血	潜在联系	Biotinidase Deficiency
尿血血色鲜红	潜在联系	Biotinidase Deficiency
衄血	潜在联系	Biotinidase Deficiency
妊娠胎漏	潜在联系	Biotinidase Deficiency
腮腺炎肿痛	潜在联系	Biotinidase Deficiency
腮肿	潜在联系	Biotinidase Deficiency
舌赤	潜在联系	Biotinidase Deficiency
舌绛	潜在联系	Biotinidase Deficiency
胎漏	潜在联系	Biotinidase Deficiency
吐衄	潜在联系	Biotinidase Deficiency
痈疽	潜在联系	Biotinidase Deficiency
痈疽疔毒	潜在联系	Biotinidase Deficiency
痈疽难溃	潜在联系	Biotinidase Deficiency
痈疽肿毒	潜在联系	Biotinidase Deficiency
痈疽肿痛	潜在联系	Biotinidase Deficiency
痈肿疮疡	潜在联系	Biotinidase Deficiency
月经过多	潜在联系	Biotinidase Deficiency
月经提前	潜在联系	Biotinidase Deficiency
痔疮肿痛	潜在联系	Biotinidase Deficiency
痔肿	潜在联系	Biotinidase Deficiency
二便不通	潜在联系	Biotinidase Deficiency
恶露不尽	潜在联系	Biotinidase Deficiency
火毒疮疡	潜在联系	Biotinidase Deficiency
焮肿	潜在联系	Biotinidase Deficiency
疗疮	潜在联系	Biotinidase Deficiency
痈疽初起	潜在联系	Biotinidase Deficiency
痈肿疔疮	潜在联系	Biotinidase Deficiency
肠痈	潜在联系	Biotinidase Deficiency
肠风	潜在联系	Biotinidase Deficiency
鼻塞	潜在联系	Biotinidase Deficiency
风疹瘙痒	潜在联系	Biotinidase Deficiency
咯痰色黄	潜在联系	Biotinidase Deficiency
流黄涕	潜在联系	Biotinidase Deficiency
流黄浊涕	潜在联系	Biotinidase Deficiency
目赤昏花	潜在联系	Biotinidase Deficiency
目昏不明	潜在联系	Biotinidase Deficiency
目涩	潜在联系	Biotinidase Deficiency
目生云翳	潜在联系	Biotinidase Deficiency
皮疹表面覆有较厚的银白色鳞屑	潜在联系	Biotinidase Deficiency
瘙痒	潜在联系	Biotinidase Deficiency
瘙痒明显	潜在联系	Biotinidase Deficiency
脱发	潜在联系	Biotinidase Deficiency
脱屑	潜在联系	Biotinidase Deficiency
微恶风寒	潜在联系	Biotinidase Deficiency
牙龈痛	潜在联系	Biotinidase Deficiency
咽干喉痛	潜在联系	Biotinidase Deficiency
咽喉不利	潜在联系	Biotinidase Deficiency
咽喉痒	潜在联系	Biotinidase Deficiency
咽黏膜充血	潜在联系	Biotinidase Deficiency
眼边刺痒	潜在联系	Biotinidase Deficiency
眼睛痛痒	潜在联系	Biotinidase Deficiency
痒	潜在联系	Biotinidase Deficiency
浊涕臭气	潜在联系	Biotinidase Deficiency
咽喉干痛	潜在联系	Biotinidase Deficiency
目暗	潜在联系	Biotinidase Deficiency
目痛	潜在联系	Biotinidase Deficiency
秃疮	潜在联系	Biotinidase Deficiency
风热郁肺咽痛	潜在联系	Biotinidase Deficiency
口舌干燥	潜在联系	Septo-Optic Dysplasia Spectrum
尿黄如茶	潜在联系	Septo-Optic Dysplasia Spectrum
尿热	潜在联系	Septo-Optic Dysplasia Spectrum
脓疱	潜在联系	Septo-Optic Dysplasia Spectrum
头重	潜在联系	Septo-Optic Dysplasia Spectrum
下血	潜在联系	Septo-Optic Dysplasia Spectrum
小腹胀痛	潜在联系	Septo-Optic Dysplasia Spectrum
脘胁胀痛	潜在联系	Septo-Optic Dysplasia Spectrum
面赤	潜在联系	Septo-Optic Dysplasia Spectrum
头重	潜在联系	Ornithine Transcarbamylase Deficiency
小便浑浊	潜在联系	Ornithine Transcarbamylase Deficiency
小便淋漓	潜在联系	Ornithine Transcarbamylase Deficiency
目痒	潜在联系	Ornithine Transcarbamylase Deficiency
乳房结节	潜在联系	Argininemia
痞闷	潜在联系	Alpha-1-Antitrypsin Deficiency
妊娠漏血	潜在联系	Alpha-1-Antitrypsin Deficiency
流黄稠涕	潜在联系	Cerebrotendinous Xanthomatosis
皮肤溃疡	潜在联系	Cerebrotendinous Xanthomatosis
皮肤糜烂	潜在联系	Cerebrotendinous Xanthomatosis
蚀疮	潜在联系	Cerebrotendinous Xanthomatosis
湿疮脓水浸淫	潜在联系	Multiple Endocrine Neoplasia Type 1
小腹胀痛	潜在联系	Multiple Endocrine Neoplasia Type 1
胸脘满闷	潜在联系	Multiple Endocrine Neoplasia Type 1
肛门灼热	潜在联系	Multiple Endocrine Neoplasia Type 1
面赤	潜在联系	Multiple Endocrine Neoplasia Type 1
血热发疹	潜在联系	Malt Lymphoma
身热	潜在联系	Malt Lymphoma
腐肉不去	潜在联系	Malt Lymphoma
流黄浊涕	潜在联系	Malt Lymphoma
大便干结难下	潜在联系	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes
舌尖红	潜在联系	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes
不喜热饮	潜在联系	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes
流脓涕	潜在联系	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes
目黄	潜在联系	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes
尿色偏黄	潜在联系	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes
石淋涩痛	潜在联系	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes
头痛如裹	潜在联系	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes
小便淋浊	潜在联系	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes
小腹胀	潜在联系	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes
胁下痞块	潜在联系	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes
胸中闷痛	潜在联系	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes
劳热	潜在联系	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes
呕吐呃逆	潜在联系	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes
肠鸣	潜在联系	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes
乳癖	潜在联系	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes
胃肠积热	潜在联系	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes
胎动不安	潜在联系	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes
焮肿	潜在联系	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes
风热	潜在联系	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes
不眠	潜在联系	Malaria
关节红肿热痛	潜在联系	Malaria
疖肿	潜在联系	Malaria
尿痛	潜在联系	Malaria
舌红苔黄腻	潜在联系	Malaria
舌体肿	潜在联系	Malaria
二便不利	潜在联系	Malaria
后重	潜在联系	Malaria
口臭	潜在联系	Malaria
胃脘嘈杂	潜在联系	Malaria
便血	潜在联系	Malaria
痈肿疮疡	潜在联系	Malaria
痔瘘	潜在联系	Malaria
红疹	潜在联系	Malaria
咽红肿痛	潜在联系	Malaria
尿混浊	潜在联系	Epidermolysis Bullosa Simplex, Dowling-Meara Type
蚀疮	潜在联系	Epidermolysis Bullosa Simplex, Dowling-Meara Type
小便淋漓	潜在联系	Epidermolysis Bullosa Simplex, Dowling-Meara Type
痰稠	潜在联系	Epidermolysis Bullosa Simplex, Dowling-Meara Type
痞闷	潜在联系	Rett Syndrome
癥瘕痞块	潜在联系	Rett Syndrome
齿痛	潜在联系	Rett Syndrome
咽喉不利	潜在联系	Rett Syndrome
多食	潜在联系	Chronic Myeloid Leukemia
大便燥结	潜在联系	Lysosomal Acid Lipase Deficiency
身困重	潜在联系	Lysosomal Acid Lipase Deficiency
火毒疮疡	潜在联系	Lysosomal Acid Lipase Deficiency
鼻痒	潜在联系	Lysosomal Acid Lipase Deficiency
面红	潜在联系	Wiskott-Aldrich Syndrome
心气痛	潜在联系	Wiskott-Aldrich Syndrome
妇人脏躁	潜在联系	Wiskott-Aldrich Syndrome
血热发疹	潜在联系	Wiskott-Aldrich Syndrome
疖肿	潜在联系	Wiskott-Aldrich Syndrome
口苦	潜在联系	Wiskott-Aldrich Syndrome
两胁胀痛	潜在联系	Wiskott-Aldrich Syndrome
淋浊	潜在联系	Wiskott-Aldrich Syndrome
流黄稠涕	潜在联系	Wiskott-Aldrich Syndrome
流脓	潜在联系	Wiskott-Aldrich Syndrome
面目悉黄	潜在联系	Wiskott-Aldrich Syndrome
脓疱	潜在联系	Wiskott-Aldrich Syndrome
皮肤溃疡	潜在联系	Wiskott-Aldrich Syndrome
痞满	潜在联系	Wiskott-Aldrich Syndrome
热淋证	潜在联系	Wiskott-Aldrich Syndrome
舌红苔黄腻	潜在联系	Wiskott-Aldrich Syndrome
舌胖	潜在联系	Wiskott-Aldrich Syndrome
身目发黄	潜在联系	Wiskott-Aldrich Syndrome
石淋	潜在联系	Wiskott-Aldrich Syndrome
头重	潜在联系	Wiskott-Aldrich Syndrome
外阴红肿	潜在联系	Wiskott-Aldrich Syndrome
小便滴沥不净	潜在联系	Wiskott-Aldrich Syndrome
小便滴沥不净	潜在联系	Wiskott-Aldrich Syndrome
小便涩痛	潜在联系	Wiskott-Aldrich Syndrome
胁下痞块	潜在联系	Wiskott-Aldrich Syndrome
胸膈痞满	潜在联系	Wiskott-Aldrich Syndrome
血尿	潜在联系	Wiskott-Aldrich Syndrome
呕吐呃逆	潜在联系	Wiskott-Aldrich Syndrome
带下阴痒	潜在联系	Wiskott-Aldrich Syndrome
脓水淋漓	潜在联系	Wiskott-Aldrich Syndrome
膝酸软	潜在联系	Wiskott-Aldrich Syndrome
脐腹胀痛	潜在联系	Wiskott-Aldrich Syndrome
停食	潜在联系	Wiskott-Aldrich Syndrome
脘腹胀闷	潜在联系	Wiskott-Aldrich Syndrome
肛门灼热	潜在联系	Wiskott-Aldrich Syndrome
口渴	潜在联系	Wiskott-Aldrich Syndrome
多食	潜在联系	Wiskott-Aldrich Syndrome
乳房胀痛	潜在联系	Wiskott-Aldrich Syndrome
乳痈	潜在联系	Wiskott-Aldrich Syndrome
胃脘嘈杂	潜在联系	Wiskott-Aldrich Syndrome
牙疼	潜在联系	Wiskott-Aldrich Syndrome
胃火牙痛	潜在联系	Wiskott-Aldrich Syndrome
便闭	潜在联系	Wiskott-Aldrich Syndrome
肌肤红	潜在联系	Wiskott-Aldrich Syndrome
热病发烧	潜在联系	Wiskott-Aldrich Syndrome
妊娠漏血	潜在联系	Wiskott-Aldrich Syndrome
腮腺炎肿痛	潜在联系	Wiskott-Aldrich Syndrome
痔疮出血	潜在联系	Wiskott-Aldrich Syndrome
火毒疮疡	潜在联系	Wiskott-Aldrich Syndrome
痱子	潜在联系	Wiskott-Aldrich Syndrome
鼻流浊涕	潜在联系	Wiskott-Aldrich Syndrome
目暗不明	潜在联系	Wiskott-Aldrich Syndrome
痰稠难出	潜在联系	Wiskott-Aldrich Syndrome
咽红	潜在联系	Wiskott-Aldrich Syndrome
眼睛痛痒	潜在联系	Wiskott-Aldrich Syndrome
痒	潜在联系	Wiskott-Aldrich Syndrome
浊涕臭气	潜在联系	Wiskott-Aldrich Syndrome
痰热咳嗽	潜在联系	Wiskott-Aldrich Syndrome
目痛	潜在联系	Wiskott-Aldrich Syndrome
风热郁肺咽痛	潜在联系	Wiskott-Aldrich Syndrome
舌红	潜在联系	Tuberculosis
腹胀满	潜在联系	Tuberculosis
流脓涕	潜在联系	Tuberculosis
小便白浊	潜在联系	Tuberculosis
胸腹胀闷	潜在联系	Tuberculosis
小儿惊啼	潜在联系	Tuberculosis
大便出血	潜在联系	Tuberculosis
盗汗	潜在联系	Tuberculosis
庁肿	潜在联系	Tuberculosis
腹胀	潜在联系	Tooth Mobility
身目发黄	潜在联系	Tooth Mobility
胸胀满	潜在联系	Tooth Mobility
后重	潜在联系	Tooth Mobility
泻痢后重	潜在联系	Tooth Mobility
胃热	潜在联系	Tooth Mobility
小儿疳积	潜在联系	Tooth Mobility
风眼烂弦	潜在联系	Tooth Mobility
衄血	潜在联系	Tooth Mobility
流浊涕	潜在联系	Tooth Mobility
牙痛	潜在联系	Tooth Mobility
浊涕臭气	潜在联系	Tooth Mobility
耳内流脓	潜在联系	Giant Cell Arteritis
头痈	潜在联系	Giant Cell Arteritis
耳内流脓	潜在联系	Takayasu Arteritis
黄疸	潜在联系	Takayasu Arteritis
肿毒	潜在联系	Takayasu Arteritis
大便干结	潜在联系	Sinusitis
大便脓血	潜在联系	Sinusitis
舌尖红	潜在联系	Sinusitis
口苦	潜在联系	Sinusitis
黏液便	潜在联系	Sinusitis
尿黄	潜在联系	Sinusitis
舌有齿痕	潜在联系	Sinusitis
湿痹拘挛	潜在联系	Sinusitis
