现代医学症状	关系	基因
Jaundice	相关基因	REN
Jaundice	相关基因	BIRC5
Jaundice	相关基因	TGFBR1
Jaundice	相关基因	CP
Jaundice	相关基因	MIR223
Jaundice	相关基因	BAX
Jaundice	相关基因	EPCAM
Jaundice	相关基因	NOS2
Jaundice	相关基因	SLC17A5
Jaundice	相关基因	IL2
Jaundice	相关基因	EDN1
Jaundice	相关基因	FASLG
Jaundice	相关基因	POMC
Jaundice	相关基因	MIR221
Emesis	相关基因	TNF
Emesis	相关基因	IL6
Emesis	相关基因	TP53
Emesis	相关基因	IFNG
Emesis	相关基因	ALB
Emesis	相关基因	IL1B
Emesis	相关基因	VEGFA
Emesis	相关基因	CRP
Emesis	相关基因	PTGS2
Emesis	相关基因	IL10
Emesis	相关基因	CCL2
Emesis	相关基因	SOD2
Emesis	相关基因	MTHFR
Emesis	相关基因	CXCL8
Emesis	相关基因	MMP9
Emesis	相关基因	ICAM1
Emesis	相关基因	CD40LG
Emesis	相关基因	IL2
Emesis	相关基因	INS
Emesis	相关基因	HLA-DRB1
Emesis	相关基因	F2
Emesis	相关基因	PTEN
Emesis	相关基因	SERPINE1
Emesis	相关基因	ACE
Emesis	相关基因	TGFB1
Emesis	相关基因	STAT3
Emesis	相关基因	IL4
Emesis	相关基因	HLA-DQB1
Emesis	相关基因	CD79A
Emesis	相关基因	TLR4
Emesis	相关基因	CDKN2A
Emesis	相关基因	HLA-B
Emesis	相关基因	LMNA
Emesis	相关基因	NOS3
Emesis	相关基因	AGT
Emesis	相关基因	F3
Emesis	相关基因	FAS
Emesis	相关基因	POMC
Emesis	相关基因	AKT1
Emesis	相关基因	BRAF
Emesis	相关基因	KRAS
Emesis	相关基因	APOE
Emesis	相关基因	PPARG
Emesis	相关基因	EGFR
Emesis	相关基因	NOS2
Emesis	相关基因	PLAT
Emesis	相关基因	TIMP1
Emesis	相关基因	CAT
Emesis	相关基因	VCAM1
Emesis	相关基因	EDN1
Emesis	相关基因	CASP3
Emesis	相关基因	SERPINA1
Emesis	相关基因	PIK3CA
Emesis	相关基因	MAPK1
Emesis	相关基因	TERT
Emesis	相关基因	TGFBR2
Emesis	相关基因	IGF1
Emesis	相关基因	ESR1
Emesis	相关基因	HIF1A
Emesis	相关基因	GFAP
Emesis	相关基因	COL1A1
Emesis	相关基因	MYC
Emesis	相关基因	MMP2
Emesis	相关基因	FOS
Emesis	相关基因	EPO
Emesis	相关基因	CCND1
Emesis	相关基因	EDNRB
Emesis	相关基因	THBD
Emesis	相关基因	BDNF
Emesis	相关基因	COMT
Emesis	相关基因	SOD1
Emesis	相关基因	FBN1
Emesis	相关基因	PLAU
Emesis	相关基因	HLA-DQA1
Emesis	相关基因	PRL
Emesis	相关基因	SST
Emesis	相关基因	MPO
Emesis	相关基因	COL3A1
Emesis	相关基因	STAT4
Emesis	相关基因	VWF
Emesis	相关基因	HFE
Emesis	相关基因	VIM
Emesis	相关基因	FGF2
Emesis	相关基因	HRAS
Emesis	相关基因	REN
Emesis	相关基因	STAT1
Emesis	相关基因	SYP
Emesis	相关基因	CTNNB1
Emesis	相关基因	LPL
Emesis	相关基因	CSF2
Emesis	相关基因	GJA1
Emesis	相关基因	JAK2
Emesis	相关基因	ELN
Emesis	相关基因	HLA-DQA2
Emesis	相关基因	S100B
Emesis	相关基因	ANXA5
Emesis	相关基因	ENO2
Emesis	相关基因	IFNA1
Emesis	相关基因	CDH1
Emesis	相关基因	IL18
Emesis	相关基因	B2M
Emesis	相关基因	TCF4
Emesis	相关基因	HGF
Emesis	相关基因	H19
Emesis	相关基因	FGFR1
Emesis	相关基因	IL1RN
Emesis	相关基因	CDKN2B
Emesis	相关基因	MAOA
Emesis	相关基因	CTLA4
Emesis	相关基因	SMAD3
Emesis	相关基因	ADRB2
Emesis	相关基因	GNAS
Emesis	相关基因	AR
Emesis	相关基因	SPP1
Emesis	相关基因	HMOX1
Emesis	相关基因	PTPN11
Emesis	相关基因	TLR9
Emesis	相关基因	IFNA2
Emesis	相关基因	SELE
Emesis	相关基因	SLC6A4
Emesis	相关基因	CASP8
Emesis	相关基因	SERPINC1
Emesis	相关基因	APP
Emesis	相关基因	CSF3
Emesis	相关基因	IL1A
Emesis	相关基因	COL5A1
Emesis	相关基因	APOA1
Emesis	相关基因	TLR2
Emesis	相关基因	IL13
Emesis	相关基因	SPARC
Emesis	相关基因	NQO1
Emesis	相关基因	CAV1
Emesis	相关基因	IL2RA
Emesis	相关基因	HLA-DRA
Emesis	相关基因	GGT1
Emesis	相关基因	IL17A
Emesis	相关基因	GSTM1
Emesis	相关基因	ERBB3
Emesis	相关基因	CD40
Emesis	相关基因	HLA-DPB1
Emesis	相关基因	WT1
Emesis	相关基因	SMAD4
Emesis	相关基因	TGFB2
Emesis	相关基因	APOH
Emesis	相关基因	CD44
Emesis	相关基因	PON1
Emesis	相关基因	AGTR1
Emesis	相关基因	FGFR2
Emesis	相关基因	NRAS
Emesis	相关基因	NR3C1
Emesis	相关基因	PRKAR1A
Emesis	相关基因	COL1A2
Emesis	相关基因	CNR1
Emesis	相关基因	NPPA
Emesis	相关基因	TTR
Emesis	相关基因	CLU
Emesis	相关基因	HP
Emesis	相关基因	VCAN
Emesis	相关基因	IL5
Emesis	相关基因	TF
Emesis	相关基因	DPYD
Emesis	相关基因	RET
Emesis	相关基因	EPCAM
Emesis	相关基因	NOTCH2
Emesis	相关基因	CHD7
Emesis	相关基因	TAC1
Emesis	相关基因	ABCA1
Emesis	相关基因	CYP19A1
Emesis	相关基因	COL4A1
Emesis	相关基因	CDKN1A
Emesis	相关基因	MAP2
Skin Ulcer(S)	相关基因	IFNG
Skin Ulcer(S)	相关基因	HLA-DRB1
Skin Ulcer(S)	相关基因	LMNA
Skin Ulcer(S)	相关基因	DOCK8
Skin Ulcer(S)	相关基因	LAMA3
Skin Ulcer(S)	相关基因	RFX5
Skin Ulcer(S)	相关基因	RFXANK
Skin Ulcer(S)	相关基因	RFXAP
Skin Ulcer(S)	相关基因	PSTPIP1
Skin Ulcer(S)	相关基因	IRF5
Skin Ulcer(S)	相关基因	HSP90AA1
Insomnia	相关基因	HLA-DQB1
Insomnia	相关基因	APOE
Insomnia	相关基因	TNF
Insomnia	相关基因	PRNP
Insomnia	相关基因	CRP
Insomnia	相关基因	IL6
Insomnia	相关基因	CST3
Insomnia	相关基因	HCRT
Insomnia	相关基因	MAPT
Insomnia	相关基因	S100B
Insomnia	相关基因	IL1B
Insomnia	相关基因	SNAP25
Insomnia	相关基因	CPOX
Insomnia	相关基因	TPPP3
Insomnia	相关基因	SERPINA3
Insomnia	相关基因	ARF1
Insomnia	相关基因	RARB
Insomnia	相关基因	EIF2AK2
Insomnia	相关基因	ENO2
Insomnia	相关基因	WFS1
Insomnia	相关基因	HMBS
Insomnia	相关基因	CD40LG
Insomnia	相关基因	INS
Insomnia	相关基因	RPSA
Insomnia	相关基因	IL17A
Insomnia	相关基因	YBX3
Insomnia	相关基因	TLR2
Insomnia	相关基因	CFHR1
Insomnia	相关基因	C3
Insomnia	相关基因	CFH
Insomnia	相关基因	CPT1B
Insomnia	相关基因	TLR1
Insomnia	相关基因	CHKB
Insomnia	相关基因	KCNA5
Insomnia	相关基因	HSPD1
Insomnia	相关基因	LEP
Insomnia	相关基因	TLR6
Insomnia	相关基因	DNMT1
Insomnia	相关基因	HLA-DRB1
Insomnia	相关基因	GCG
Insomnia	相关基因	SLC6A3
Insomnia	相关基因	NPS
Insomnia	相关基因	GLP1R
Insomnia	相关基因	RAI1
Insomnia	相关基因	DRD2
Insomnia	相关基因	CHGA
Insomnia	相关基因	MIR204
Insomnia	相关基因	HTR2A
Insomnia	相关基因	CHKB-CPT1B
Insomnia	相关基因	GRN
Insomnia	相关基因	INSM1
Insomnia	相关基因	RPS15
Insomnia	相关基因	MEN1
Insomnia	相关基因	SST
Insomnia	相关基因	ABCC8
Insomnia	相关基因	SOD1
Insomnia	相关基因	IAPP
Insomnia	相关基因	PDX1
Insomnia	相关基因	GCK
Insomnia	相关基因	NCOA6
Insomnia	相关基因	SCT
Insomnia	相关基因	PTPRN2
Insomnia	相关基因	PTPRN
Insomnia	相关基因	SLC2A2
Insomnia	相关基因	HCRTR1
Insomnia	相关基因	TPH1
Insomnia	相关基因	LIMK1
Insomnia	相关基因	TAC1
Insomnia	相关基因	ATXN3
Insomnia	相关基因	GHRL
Insomnia	相关基因	TARDBP
Insomnia	相关基因	RFC2
Insomnia	相关基因	TBL2
Insomnia	相关基因	DLG4
Insomnia	相关基因	GTF2IRD1
Insomnia	相关基因	TNFRSF1B
Insomnia	相关基因	BAZ1B
Insomnia	相关基因	SLC18A2
Insomnia	相关基因	CLIP2
Insomnia	相关基因	ELN
Insomnia	相关基因	GTF2I
Insomnia	相关基因	PSEN1
Insomnia	相关基因	NOS3
Insomnia	相关基因	IL18
Insomnia	相关基因	COX2
Insomnia	相关基因	CXCR3
Insomnia	相关基因	DCTN1
Insomnia	相关基因	ZNF365
Insomnia	相关基因	APP
Insomnia	相关基因	PPOX
Insomnia	相关基因	ALAS1
Insomnia	相关基因	ALAD
Insomnia	相关基因	BDNF
Insomnia	相关基因	SIN3A
Insomnia	相关基因	TOR1B
Insomnia	相关基因	REN
Insomnia	相关基因	CTNNBL1
Insomnia	相关基因	ANKMY2
Insomnia	相关基因	UROS
Insomnia	相关基因	DRD1
Insomnia	相关基因	SLC6A2
Palpitation(S)	相关基因	KCNJ2
Palpitation(S)	相关基因	SDHA
Palpitation(S)	相关基因	MAX
Palpitation(S)	相关基因	KCNQ1
Palpitation(S)	相关基因	KIF1B
Palpitation(S)	相关基因	RET
Palpitation(S)	相关基因	SDHC
Palpitation(S)	相关基因	SDHD
Palpitation(S)	相关基因	SDHB
Palpitation(S)	相关基因	SDHAF2
Palpitation(S)	相关基因	VHL
Palpitation(S)	相关基因	MDH2
Palpitation(S)	相关基因	CHGA
Palpitation(S)	相关基因	FH
Palpitation(S)	相关基因	KCNA5
Palpitation(S)	相关基因	CPSF7
Palpitation(S)	相关基因	WFS1
Lightheadedness	相关基因	WFDC21P
Diarrhea	相关基因	TNF
Diarrhea	相关基因	IL6
Diarrhea	相关基因	ALB
Diarrhea	相关基因	CD40LG
Diarrhea	相关基因	TP53
Diarrhea	相关基因	IFNG
Diarrhea	相关基因	CRP
Diarrhea	相关基因	VEGFA
Diarrhea	相关基因	IL10
Diarrhea	相关基因	IL1B
Diarrhea	相关基因	CXCL8
Diarrhea	相关基因	CD79A
Diarrhea	相关基因	F2
Diarrhea	相关基因	PTEN
Diarrhea	相关基因	ICAM1
Diarrhea	相关基因	HLA-DRB1
Diarrhea	相关基因	MMP9
Diarrhea	相关基因	INS
Diarrhea	相关基因	IL2
Diarrhea	相关基因	IL4
Diarrhea	相关基因	TGFB1
Diarrhea	相关基因	PTGS2
Diarrhea	相关基因	CCL2
Diarrhea	相关基因	CDKN2A
Diarrhea	相关基因	EGFR
Diarrhea	相关基因	HLA-DQB1
Diarrhea	相关基因	AKT1
Diarrhea	相关基因	HRAS
Diarrhea	相关基因	HLA-B
Diarrhea	相关基因	PIK3CA
Diarrhea	相关基因	POMC
Diarrhea	相关基因	KRAS
Defecation Pain	相关基因	RET
Defecation Pain	相关基因	EDNRB
Defecation Pain	相关基因	EDN3
Defecation Pain	相关基因	TSHR
Defecation Pain	相关基因	TH
Defecation Pain	相关基因	NKX2-5
Defecation Pain	相关基因	GDNF
Defecation Pain	相关基因	BDNF
Defecation Pain	相关基因	PAX3
Defecation Pain	相关基因	PAX8
Defecation Pain	相关基因	BRAF
Defecation Pain	相关基因	PHOX2B
Defecation Pain	相关基因	FGF8
Defecation Pain	相关基因	DBH
Defecation Pain	相关基因	SOX10
Defecation Pain	相关基因	KRAS
Defecation Pain	相关基因	CCND1
Defecation Pain	相关基因	HMBS
Defecation Pain	相关基因	ALAD
Defecation Pain	相关基因	UCHL1
Defecation Pain	相关基因	TTR
Defecation Pain	相关基因	MEN1
Defecation Pain	相关基因	PROP1
Defecation Pain	相关基因	CDKN2A
Defecation Pain	相关基因	ASCL1
Defecation Pain	相关基因	MBTPS2
Defecation Pain	相关基因	THRA
Defecation Pain	相关基因	GLI3
Defecation Pain	相关基因	CPOX
Defecation Pain	相关基因	KIT
Defecation Pain	相关基因	MITF
Defecation Pain	相关基因	NTRK3
Defecation Pain	相关基因	SYP
Defecation Pain	相关基因	KITLG
Defecation Pain	相关基因	GSN
Defecation Pain	相关基因	APOA1
Defecation Pain	相关基因	COMT
Defecation Pain	相关基因	ACHE
Defecation Pain	相关基因	PHOX2A
Defecation Pain	相关基因	KCNK5
Defecation Pain	相关基因	TG
Defecation Pain	相关基因	JMJD1C
Defecation Pain	相关基因	PMPCA
Defecation Pain	相关基因	MYO1H
Defecation Pain	相关基因	TPO
Defecation Pain	相关基因	FGFR1
Defecation Pain	相关基因	STT3B
Defecation Pain	相关基因	TLX2
Defecation Pain	相关基因	MARK3
Defecation Pain	相关基因	VIP
Defecation Pain	相关基因	COL7A1
Defecation Pain	相关基因	PPOX
Defecation Pain	相关基因	NF1
Defecation Pain	相关基因	LHX3
Defecation Pain	相关基因	TRIM11
Defecation Pain	相关基因	HIRA
Defecation Pain	相关基因	PTCH1
Defecation Pain	相关基因	GPR4
Defecation Pain	相关基因	DDC
Defecation Pain	相关基因	CHGA
Defecation Pain	相关基因	THRB
Defecation Pain	相关基因	ZNF202
Defecation Pain	相关基因	DUOX2
Defecation Pain	相关基因	POU1F1
Defecation Pain	相关基因	RPS27A
Defecation Pain	相关基因	HESX1
Defecation Pain	相关基因	UROD
Defecation Pain	相关基因	CECR2
Defecation Pain	相关基因	FECH
Defecation Pain	相关基因	SLC5A5
Defecation Pain	相关基因	FOXG1
Defecation Pain	相关基因	POLR2F
Defecation Pain	相关基因	DUOXA2
Defecation Pain	相关基因	CLUH
Defecation Pain	相关基因	DES
Defecation Pain	相关基因	IYD
Defecation Pain	相关基因	SCN11A
Defecation Pain	相关基因	DHCR7
Defecation Pain	相关基因	ARTN
Defecation Pain	相关基因	IGF2
Defecation Pain	相关基因	UROS
Defecation Pain	相关基因	GFRA1
Defecation Pain	相关基因	GLI2
Defecation Pain	相关基因	ABL1
Defecation Pain	相关基因	TSHB
Defecation Pain	相关基因	FOXE1
Defecation Pain	相关基因	SYT2
Defecation Pain	相关基因	NRTN
Defecation Pain	相关基因	S100A1
Defecation Pain	相关基因	SOX3
Defecation Pain	相关基因	SLC26A4
Defecation Pain	相关基因	HFE
Defecation Pain	相关基因	LRP2
Defecation Pain	相关基因	NES
Defecation Pain	相关基因	REN
Defecation Pain	相关基因	GP1BB
Defecation Pain	相关基因	MYOT
Defecation Pain	相关基因	OTX2
Defecation Pain	相关基因	MMP1
Defecation Pain	相关基因	SIX3
Defecation Pain	相关基因	NOS1
Defecation Pain	相关基因	RREB1
Defecation Pain	相关基因	NTF3
Defecation Pain	相关基因	ARVCF
Defecation Pain	相关基因	MECP2
Defecation Pain	相关基因	SEC24C
Defecation Pain	相关基因	CDKL5
Defecation Pain	相关基因	SCN9A
Defecation Pain	相关基因	DMD
Defecation Pain	相关基因	ASH1L
Defecation Pain	相关基因	MUC2
Defecation Pain	相关基因	TRH
Defecation Pain	相关基因	SHH
Defecation Pain	相关基因	PCDHA9
Defecation Pain	相关基因	CRYAB
Defecation Pain	相关基因	DDX39A
Defecation Pain	相关基因	ZEB2
Defecation Pain	相关基因	TBX1
Defecation Pain	相关基因	SDHA
Defecation Pain	相关基因	STS
Defecation Pain	相关基因	MAOB
Defecation Pain	相关基因	BRCA1
Defecation Pain	相关基因	LY96
Defecation Pain	相关基因	SNAP29
Defecation Pain	相关基因	HSP90AA1
Defecation Pain	相关基因	MKKS
Defecation Pain	相关基因	ANO1
Defecation Pain	相关基因	PRDM9
Defecation Pain	相关基因	SLC7A4
Defecation Pain	相关基因	PRKCQ
Defecation Pain	相关基因	PIGV
Defecation Pain	相关基因	SCN10A
Defecation Pain	相关基因	TSSK1B
Defecation Pain	相关基因	SLC25A1
Defecation Pain	相关基因	GDF1
Defecation Pain	相关基因	FLNA
Defecation Pain	相关基因	ESS2
Fever	相关基因	CD40LG
Fever	相关基因	IFNG
Fever	相关基因	TNF
Fever	相关基因	BTK
Fever	相关基因	IL1B
Fever	相关基因	IL6
Fever	相关基因	HLA-DRB1
Fever	相关基因	CRP
Fever	相关基因	MEFV
Fever	相关基因	HLA-A
Fever	相关基因	SELE
Fever	相关基因	THBD
Fever	相关基因	TLR9
Fever	相关基因	VWF
Fever	相关基因	CD40
Fever	相关基因	MYD88
Fever	相关基因	IL1RN
Fever	相关基因	HLA-B
Fever	相关基因	NOS2
Fever	相关基因	CXCR3
Fever	相关基因	HLA-C
Fever	相关基因	ADA
Fever	相关基因	BCL6
Fever	相关基因	APOH
Fever	相关基因	CD79A
Fever	相关基因	F3
Fever	相关基因	NOD2
Fever	相关基因	CD36
Fever	相关基因	IFNA2
Fever	相关基因	MIF
Fever	相关基因	ADA2
Fever	相关基因	PSTPIP1
Fever	相关基因	BCL2
Fever	相关基因	MYC
Fever	相关基因	HLA-DPB1
Fever	相关基因	TLR4
Fever	相关基因	TNFRSF1B
Fever	相关基因	ITGAL
Fever	相关基因	IL10
Fever	相关基因	ICAM1
Fever	相关基因	STXBP2
Fever	相关基因	IL18
Fever	相关基因	ELANE
Fever	相关基因	G6PC3
Fever	相关基因	GALM
Fever	相关基因	F7
Fever	相关基因	PRTN3
Fever	相关基因	RYR1
Fever	相关基因	IRF8
Fever	相关基因	TMEM173
Fever	相关基因	THBS1
Fever	相关基因	NLRP3
Fever	相关基因	CISH
Fever	相关基因	TIRAP
Fever	相关基因	IL5
Fever	相关基因	IFNGR1
Fever	相关基因	ITGB2
Fever	相关基因	BCL2L1
Fever	相关基因	CASP1
Fever	相关基因	ELN
Fever	相关基因	CD27
Fever	相关基因	CXCL10
Fever	相关基因	MME
Fever	相关基因	CD5
Fever	相关基因	JAK2
Fever	相关基因	IGH
Fever	相关基因	CD200
Fever	相关基因	MCL1
Fever	相关基因	SERPINE1
Fever	相关基因	MPO
Fever	相关基因	IL2RA
Fever	相关基因	CSF3
Fever	相关基因	TGFB1
Fever	相关基因	IRF4
Fever	相关基因	RASD1
Fever	相关基因	ATP1A2
Fever	相关基因	CTLA4
Fever	相关基因	CUL4A
Discoloration Urine	相关基因	UROS
Toothache	相关基因	IL6
Toothache	相关基因	TNF
Toothache	相关基因	IL1B
Toothache	相关基因	PTGS2
Toothache	相关基因	LMNA
Toothache	相关基因	ADRB1
Toothache	相关基因	VEGFA
Toothache	相关基因	NOS3
Toothache	相关基因	GJA1
Toothache	相关基因	CDKN2B-AS1
Toothache	相关基因	ACE
Toothache	相关基因	SOD2
Toothache	相关基因	AGT
Toothache	相关基因	ESR1
Toothache	相关基因	CXCL8
Toothache	相关基因	CXCL12
Toothache	相关基因	CRP
Toothache	相关基因	MTHFR
Toothache	相关基因	SMARCA4
Toothache	相关基因	NR3C2
Toothache	相关基因	PON1
Toothache	相关基因	FBN1
Toothache	相关基因	HP
Toothache	相关基因	CAT
Toothache	相关基因	APOE
Toothache	相关基因	IL10
Toothache	相关基因	NOS2
Toothache	相关基因	CCL2
