基因	关系	通路
RAD51	相关通路	Pathway::PC7_5271
CD86	相关通路	Pathway::PC7_7439
KNG1	相关通路	Pathway::PC7_4107
CACNA1H	相关通路	Pathway::PC7_3084
IL2RB	相关通路	Pathway::PC7_3327
CTNNB1	相关通路	Pathway::PC7_8664
KCNA5	相关通路	Pathway::PC7_5887
FGFR3	相关通路	Pathway::WP2828_r79529
ADRA2B	相关通路	Pathway::PC7_1578
PSMB4	相关通路	Pathway::PC7_5531
ANXA5	相关通路	Pathway::WP98_r72088
SCARB1	相关通路	Pathway::PC7_7393
PAK1	相关通路	Pathway::WP1984_r82941
SREBF1	相关通路	Pathway::PC7_1550
TUBB4A	相关通路	Pathway::PC7_2519
ERBB2	相关通路	Pathway::PC7_7423
COL3A1	相关通路	Pathway::PC7_1812
PIK3R2	相关通路	Pathway::WP364_r83783
HEY1	相关通路	Pathway::WP61_r78592
MAPK8	相关通路	Pathway::PC7_4819
MDM2	相关通路	Pathway::WP465_r79226
TNFRSF10B	相关通路	Pathway::PC7_1684
KIT	相关通路	Pathway::PC7_4012
TYK2	相关通路	Pathway::PC7_6747
HADHA	相关通路	Pathway::WP706_r80056
HTR1B	相关通路	Pathway::WP58_r80015
CD3G	相关通路	Pathway::PC7_6128
CASP9	相关通路	Pathway::PC7_2679
GHSR	相关通路	Pathway::PC7_4107
ABCC4	相关通路	Pathway::WP2289_r78511
CASK	相关通路	Pathway::PC7_5968
MAP2K2	相关通路	Pathway::PC7_4061
ABCG2	相关通路	Pathway::WP1601_r84700
MAP2K7	相关通路	Pathway::PC7_4370
ADRA1D	相关通路	Pathway::PC7_4107
RGS17	相关通路	Pathway::PC7_7457
SLC2A2	相关通路	Pathway::PC7_3084
HLA-DRB1	相关通路	Pathway::PC7_1563
MADD	相关通路	Pathway::PC7_2506
SMAD3	相关通路	Pathway::PC7_4340
MAPK13	相关通路	Pathway::PC7_8664
RPS28	相关通路	Pathway::PC7_5972
CTH	相关通路	Pathway::WP28_r71888
LDLR	相关通路	Pathway::WP2011_r75253
FGF2	相关通路	Pathway::PC7_7717
ABCG5	相关通路	Pathway::WP430_r82344
GLI3	相关通路	Pathway::PC7_4438
RPS19	相关通路	Pathway::PC7_5972
TIMP2	相关通路	Pathway::WP1539_r79949
G6PD	相关通路	Pathway::WP692_r69031
MAPK7	相关通路	Pathway::PC7_5772
HLA-DQB1	相关通路	Pathway::PC7_5157
NRAS	相关通路	Pathway::PC7_3983
GRIN2A	相关通路	Pathway::PC7_2333
MAPK7	相关通路	Pathway::PC7_3434
GRB2	相关通路	Pathway::PC7_2525
TPO	相关通路	Pathway::WP2848_r80009
CD40LG	相关通路	Pathway::PC7_1563
ALAS1	相关通路	Pathway::PC7_6532
BAX	相关通路	Pathway::WP3303_r83781
PIK3CA	相关通路	Pathway::PC7_7447
NPS	相关通路	Pathway::PC7_6396
EGF	相关通路	Pathway::PC7_5772
BCL2	相关通路	Pathway::PC7_5995
AKT1	相关通路	Pathway::WP2864_r79278
PRKCQ	相关通路	Pathway::PC7_3327
RPS27A	相关通路	Pathway::PC7_7797
AHCY	相关通路	Pathway::PC7_2098
CYP1A2	相关通路	Pathway::PC7_5322
HRAS	相关通路	Pathway::PC7_5890
EGF	相关通路	Pathway::PC7_7267
SLC22A8	相关通路	Pathway::PC7_8339
CXCL8	相关通路	Pathway::PC7_4638
CALCR	相关通路	Pathway::WP334_r79716
HSP90AA1	相关通路	Pathway::PC7_3886
FYN	相关通路	Pathway::PC7_8234
APOA1	相关通路	Pathway::PC7_1655
UBB	相关通路	Pathway::PC7_5783
NEDD8	相关通路	Pathway::PC7_3278
SP1	相关通路	Pathway::PC7_3852
NCF1	相关通路	Pathway::PC7_2705
PYGL	相关通路	Pathway::PC7_3278
F2	相关通路	Pathway::PC7_7457
GNRHR	相关通路	Pathway::WP117_r82985
SLC2A2	相关通路	Pathway::PC7_6904
TGFB2	相关通路	Pathway::PC7_6918
CDK5R1	相关通路	Pathway::WP2059_r82906
FGFR3	相关通路	Pathway::PC7_1877
ATM	相关通路	Pathway::PC7_4004
RPS27A	相关通路	Pathway::PC7_4791
INS	相关通路	Pathway::WP1982_r79943
PIK3CG	相关通路	Pathway::PC7_5326
CACNA1C	相关通路	Pathway::PC7_3084
FGF2	相关通路	Pathway::PC7_7447
CCL2	相关通路	Pathway::WP2858_r83015
ADAM17	相关通路	Pathway::PC7_7458
CYP7A1	相关通路	Pathway::PC7_7755
PDPK1	相关通路	Pathway::PC7_7446
MYC	相关通路	Pathway::PC7_5528
SYK	相关通路	Pathway::WP2018_r79959
SMARCA4	相关通路	Pathway::PC7_7483
HDAC6	相关通路	Pathway::PC7_7488
AKT1	相关通路	Pathway::PC7_2255
GRIA3	相关通路	Pathway::PC7_8629
CD14	相关通路	Pathway::PC7_8288
JUNB	相关通路	Pathway::PC7_1178
ADRB1	相关通路	Pathway::WP3298_r84382
CHEK2	相关通路	Pathway::PC7_3855
SAE1	相关通路	Pathway::PC7_6540
SNAP25	相关通路	Pathway::PC7_2647
HRH2	相关通路	Pathway::PC7_3994
PDE11A	相关通路	Pathway::PC7_5948
PTPN1	相关通路	Pathway::PC7_4688
RBP4	相关通路	Pathway::PC7_6947
NFKB1	相关通路	Pathway::WP2064_r79263
ARRB1	相关通路	Pathway::PC7_4639
PIK3R1	相关通路	Pathway::WP22_r79264
PROS1	相关通路	Pathway::PC7_2671
FAS	相关通路	Pathway::PC7_2506
ADRA2A	相关通路	Pathway::PC7_4449
F2RL1	相关通路	Pathway::PC7_4044
ACHE	相关通路	Pathway::PC7_1178
MTR	相关通路	Pathway::WP1533_r82707
BCL6	相关通路	Pathway::WP23_r79985
ABCC3	相关通路	Pathway::WP2875_r79890
HBEGF	相关通路	Pathway::PC7_3700
IL1RN	相关通路	Pathway::WP2034_r80016
PIK3CA	相关通路	Pathway::PC7_3885
ACTB	相关通路	Pathway::PC7_6566
MAP2K1	相关通路	Pathway::PC7_2907
ESRRA	相关通路	Pathway::PC7_6057
IRF5	相关通路	Pathway::PC7_4688
KCNB1	相关通路	Pathway::PC7_4754
KISS1R	相关通路	Pathway::PC7_6396
AKT1	相关通路	Pathway::PC7_7042
PIK3CA	相关通路	Pathway::PC7_6507
ACTR2	相关通路	Pathway::PC7_6141
HSD3B2	相关通路	Pathway::PC7_4160
PNPO	相关通路	Pathway::PC7_5322
CASP3	相关通路	Pathway::WP2431_r84650
THBS1	相关通路	Pathway::PC7_4449
MAPK12	相关通路	Pathway::WP1449_r81172
MYD88	相关通路	Pathway::PC7_2910
MGMT	相关通路	Pathway::PC7_2948
ME1	相关通路	Pathway::PC7_3882
PDGFRB	相关通路	Pathway::PC7_5772
RET	相关通路	Pathway::PC7_6542
MMP2	相关通路	Pathway::PC7_3855
CDK4	相关通路	Pathway::PC7_5528
RPS27A	相关通路	Pathway::PC7_2520
PDGFRA	相关通路	Pathway::PC7_7463
STAT1	相关通路	Pathway::PC7_3424
SRC	相关通路	Pathway::PC7_5697
APOC2	相关通路	Pathway::WP430_r82344
HTR2B	相关通路	Pathway::PC7_3993
CXCL12	相关通路	Pathway::PC7_4044
MAPK3	相关通路	Pathway::WP1544_r84696
EGFR	相关通路	Pathway::WP2870_r79555
CHRNB2	相关通路	Pathway::PC7_5887
BAD	相关通路	Pathway::WP1772_r84701
SRC	相关通路	Pathway::PC7_2928
THBS1	相关通路	Pathway::PC7_7721
GOT1	相关通路	Pathway::PC7_4207
COL1A2	相关通路	Pathway::PC7_4762
MAPK3	相关通路	Pathway::PC7_8431
KCNK2	相关通路	Pathway::PC7_5887
RPS15	相关通路	Pathway::PC7_3278
PSMB4	相关通路	Pathway::PC7_2830
MMP9	相关通路	Pathway::PC7_3065
HRAS	相关通路	Pathway::PC7_6533
IKBKB	相关通路	Pathway::WP2795_r78544
PSMB8	相关通路	Pathway::PC7_2830
TP53	相关通路	Pathway::PC7_2529
XBP1	相关通路	Pathway::PC7_8786
GSK3B	相关通路	Pathway::PC7_4161
MYC	相关通路	Pathway::PC7_3803
FKBP4	相关通路	Pathway::PC7_4161
CAPN2	相关通路	Pathway::WP2059_r82906
SLC22A6	相关通路	Pathway::PC7_8352
LIG1	相关通路	Pathway::PC7_2521
GLUD1	相关通路	Pathway::PC7_1629
TLR4	相关通路	Pathway::WP75_r83867
PSMB4	相关通路	Pathway::PC7_3061
ADCY2	相关通路	Pathway::PC7_3386
PDGFB	相关通路	Pathway::PC7_4741
CD44	相关通路	Pathway::PC7_4449
PDGFB	相关通路	Pathway::PC7_7463
YWHAB	相关通路	Pathway::PC7_4785
TCF4	相关通路	Pathway::WP2355_r79973
TGFB1	相关通路	Pathway::PC7_3278
RPS6	相关通路	Pathway::PC7_4727
ADORA3	相关通路	Pathway::PC7_7457
IGF1	相关通路	Pathway::PC7_7265
PTEN	相关通路	Pathway::WP313_r79946
RPS27A	相关通路	Pathway::PC7_5561
PDGFB	相关通路	Pathway::PC7_7269
NRG1	相关通路	Pathway::PC7_7478
SAT1	相关通路	Pathway::PC7_5329
STAT3	相关通路	Pathway::WP2868_r78079
PSME3	相关通路	Pathway::PC7_7231
PTPN1	相关通路	Pathway::PC7_5673
PRSS1	相关通路	Pathway::PC7_3017
CDKN1A	相关通路	Pathway::PC7_2625
PTPN1	相关通路	Pathway::PC7_4574
EP300	相关通路	Pathway::PC7_2681
CSF2RB	相关通路	Pathway::PC7_4780
SERPINA1	相关通路	Pathway::PC7_6514
CXCL12	相关通路	Pathway::PC7_6396
RAC2	相关通路	Pathway::PC7_1863
INSR	相关通路	Pathway::PC7_7493
CYP1A1	相关通路	Pathway::WP3298_r84382
ATP2A2	相关通路	Pathway::PC7_6869
PPARD	相关通路	Pathway::PC7_5326
CRP	相关通路	Pathway::WP1533_r82707
CYP17A1	相关通路	Pathway::PC7_1658
NFKB1	相关通路	Pathway::WP710_r79974
P4HB	相关通路	Pathway::PC7_2576
RPS28	相关通路	Pathway::PC7_685
JAK2	相关通路	Pathway::PC7_4779
SUOX	相关通路	Pathway::PC7_5322
UBB	相关通路	Pathway::PC7_12285
TBXA2R	相关通路	Pathway::PC7_7457
FGF7	相关通路	Pathway::PC7_1518
MAN1B1	相关通路	Pathway::PC7_1750
RPS19	相关通路	Pathway::PC7_5324
KCNJ11	相关通路	Pathway::PC7_6909
SCARB1	相关通路	Pathway::PC7_5326
GRB2	相关通路	Pathway::PC7_6157
MTOR	相关通路	Pathway::PC7_7463
TYK2	相关通路	Pathway::WP585_r80201
NEDD8	相关通路	Pathway::PC7_7796
SLC16A1	相关通路	Pathway::PC7_6669
SMAD7	相关通路	Pathway::PC7_7795
ERBB3	相关通路	Pathway::WP2864_r79278
SRC	相关通路	Pathway::PC7_5876
OPRD1	相关通路	Pathway::PC7_7439
HADHB	相关通路	Pathway::PC7_1556
PRKACA	相关通路	Pathway::PC7_7445
SLC25A15	相关通路	Pathway::PC7_8635
EIF4EBP1	相关通路	Pathway::WP2380_r79953
IFNG	相关通路	Pathway::WP530_r79331
KRAS	相关通路	Pathway::PC7_3084
HLA-DQA2	相关通路	Pathway::PC7_4115
PFKL	相关通路	Pathway::PC7_3278
CCR4	相关通路	Pathway::WP455_r81793
ERBB3	相关通路	Pathway::PC7_7445
FGF2	相关通路	Pathway::PC7_4663
MAPK9	相关通路	Pathway::WP382_r79951
PTGIS	相关通路	Pathway::PC7_6432
MAPK3	相关通路	Pathway::PC7_7040
MAPK8	相关通路	Pathway::PC7_2526
CDKN2B	相关通路	Pathway::PC7_6913
JAK1	相关通路	Pathway::PC7_3278
CCNB1	相关通路	Pathway::WP45_r80001
RAB3GAP2	相关通路	Pathway::PC7_3632
PRKAR1A	相关通路	Pathway::PC7_6172
CCNE1	相关通路	Pathway::PC7_12078
CDKN1B	相关通路	Pathway::PC7_2830
HSP90AA1	相关通路	Pathway::PC7_4761
PIK3CA	相关通路	Pathway::PC7_8430
RPS15	相关通路	Pathway::PC7_5973
GRB2	相关通路	Pathway::PC7_1987
PRKDC	相关通路	Pathway::WP3594_r84573
HLA-B	相关通路	Pathway::PC7_1563
SLC6A4	相关通路	Pathway::WP706_r80056
SREBF1	相关通路	Pathway::WP1403_r79471
PPP2R2A	相关通路	Pathway::PC7_5530
MAOB	相关通路	Pathway::PC7_1598
ABCG1	相关通路	Pathway::PC7_4970
FYN	相关通路	Pathway::PC7_3084
PIK3CA	相关通路	Pathway::PC7_4574
PIK3CD	相关通路	Pathway::WP1544_r84696
MYC	相关通路	Pathway::PC7_12279
GRIN1	相关通路	Pathway::WP2059_r82906
PDPK1	相关通路	Pathway::PC7_4583
PPARA	相关通路	Pathway::PC7_6910
MAP2K2	相关通路	Pathway::PC7_4062
MAPK10	相关通路	Pathway::PC7_5560
MMP10	相关通路	Pathway::PC7_1536
CCNE1	相关通路	Pathway::WP2377_r80437
MTOR	相关通路	Pathway::PC7_2701
ADORA3	相关通路	Pathway::WP455_r81793
EDNRA	相关通路	Pathway::WP117_r82985
HTR2B	相关通路	Pathway::PC7_1624
TP53	相关通路	Pathway::PC7_1684
SRC	相关通路	Pathway::PC7_3419
CDKN1B	相关通路	Pathway::PC7_3278
YWHAB	相关通路	Pathway::PC7_7445
DCTN1	相关通路	Pathway::PC7_5157
TH	相关通路	Pathway::PC7_1123
PLA2G2A	相关通路	Pathway::PC7_7742
AKT1	相关通路	Pathway::WP1559_r84698
RPS27A	相关通路	Pathway::PC7_8332
JAK1	相关通路	Pathway::PC7_7463
HRAS	相关通路	Pathway::PC7_7444
CALCA	相关通路	Pathway::PC7_4043
IL6	相关通路	Pathway::PC7_7463
ABCA1	相关通路	Pathway::PC7_6828
TP53	相关通路	Pathway::WP1971_r82939
AKT1	相关通路	Pathway::PC7_2251
CREBBP	相关通路	Pathway::PC7_3980
CFD	相关通路	Pathway::PC7_4688
JAK1	相关通路	Pathway::PC7_2907
HSF1	相关通路	Pathway::PC7_6883
HPRT1	相关通路	Pathway::PC7_5322
IL6ST	相关通路	Pathway::PC7_7463
AGTR2	相关通路	Pathway::PC7_7439
MAPK1	相关通路	Pathway::PC7_7436
CDK4	相关通路	Pathway::PC7_2570
CCND3	相关通路	Pathway::WP179_r70629
STAT3	相关通路	Pathway::PC7_5772
SMAD4	相关通路	Pathway::PC7_4116
SRC	相关通路	Pathway::WP437_r79266
RXRA	相关通路	Pathway::PC7_2090
PLAT	相关通路	Pathway::WP272_r84876
SLC17A5	相关通路	Pathway::PC7_7764
PSME3	相关通路	Pathway::PC7_4439
IRS1	相关通路	Pathway::WP236_r80209
AXIN1	相关通路	Pathway::PC7_3278
PRKCZ	相关通路	Pathway::WP289_r81078
ELK1	相关通路	Pathway::PC7_4688
SAR1B	相关通路	Pathway::PC7_5330
PTPN11	相关通路	Pathway::PC7_7267
PMS2	相关通路	Pathway::PC7_5188
MET	相关通路	Pathway::PC7_7718
MTNR1B	相关通路	Pathway::PC7_7457
MAP2K1	相关通路	Pathway::PC7_3885
CSF2	相关通路	Pathway::PC7_1123
MAPK12	相关通路	Pathway::WP3303_r83781
ITGB3	相关通路	Pathway::PC7_7482
OTC	相关通路	Pathway::WP497_r72142
STAT1	相关通路	Pathway::PC7_3698
CHUK	相关通路	Pathway::PC7_3325
THBS1	相关通路	Pathway::WP2377_r80437
AXIN1	相关通路	Pathway::WP428_r79854
HRH1	相关通路	Pathway::PC7_3993
STAT1	相关通路	Pathway::WP2328_r84648
PRKCZ	相关通路	Pathway::WP35_r79952
PTK2	相关通路	Pathway::PC7_5883
CTSG	相关通路	Pathway::PC7_8639
AKT1	相关通路	Pathway::PC7_4440
PIK3R1	相关通路	Pathway::PC7_4588
LIMK1	相关通路	Pathway::PC7_6896
FGF8	相关通路	Pathway::PC7_6157
TACR3	相关通路	Pathway::PC7_3993
CALM1	相关通路	Pathway::PC7_7448
MAP2K2	相关通路	Pathway::WP185_r80036
ITPR2	相关通路	Pathway::PC7_6513
SOD1	相关通路	Pathway::WP15_r82705
TOP2A	相关通路	Pathway::WP3594_r84573
FYN	相关通路	Pathway::WP306_r80308
ADCYAP1	相关通路	Pathway::PC7_2621
PSMB8	相关通路	Pathway::PC7_11384
MYD88	相关通路	Pathway::PC7_12281
CYP7A1	相关通路	Pathway::PC7_8339
ABCB5	相关通路	Pathway::PC7_8339
CD14	相关通路	Pathway::PC7_5560
NRAS	相关通路	Pathway::PC7_4663
PDPK1	相关通路	Pathway::PC7_2701
FGFR2	相关通路	Pathway::WP2795_r78544
GRK2	相关通路	Pathway::PC7_6177
IKBKB	相关通路	Pathway::WP2018_r79959
NR4A3	相关通路	Pathway::PC7_4112
PLK1	相关通路	Pathway::PC7_6189
PIK3R1	相关通路	Pathway::PC7_3419
ERBB3	相关通路	Pathway::PC7_7448
GRB2	相关通路	Pathway::PC7_7478
PSENEN	相关通路	Pathway::PC7_1516
SH2B3	相关通路	Pathway::PC7_7494
VKORC1	相关通路	Pathway::PC7_4100
MAPK9	相关通路	Pathway::WP2355_r79973
SERPINE1	相关通路	Pathway::PC7_6945
RPIA	相关通路	Pathway::PC7_5322
NFKB1	相关通路	Pathway::PC7_7778
SERPINE1	相关通路	Pathway::PC7_4340
PIK3R1	相关通路	Pathway::PC7_4628
MAPK3	相关通路	Pathway::PC7_5885
PRKAR2B	相关通路	Pathway::WP2012_r82900
CREB1	相关通路	Pathway::PC7_1539
SRC	相关通路	Pathway::PC7_3678
TPH1	相关通路	Pathway::PC7_1625
PRKACA	相关通路	Pathway::PC7_5887
GNAI1	相关通路	Pathway::PC7_7439
DIO2	相关通路	Pathway::WP28_r71888
TERT	相关通路	Pathway::PC7_6914
PTK2	相关通路	Pathway::PC7_2373
SLC25A15	相关通路	Pathway::PC7_1629
AKT1	相关通路	Pathway::PC7_4862
NCOA6	相关通路	Pathway::PC7_2698
RXRA	相关通路	Pathway::PC7_2098
C3	相关通路	Pathway::PC7_7457
DMD	相关通路	Pathway::PC7_3777
DCTN1	相关通路	Pathway::PC7_5529
HLA-DPB1	相关通路	Pathway::PC7_4115
STAT5B	相关通路	Pathway::PC7_7449
MDM2	相关通路	Pathway::PC7_7445
IFNGR1	相关通路	Pathway::PC7_2907
ERBB3	相关通路	Pathway::PC7_3328
PIK3CA	相关通路	Pathway::PC7_4663
LY96	相关通路	Pathway::PC7_8288
SLC5A5	相关通路	Pathway::PC7_1625
SIRT1	相关通路	Pathway::PC7_3682
IL6	相关通路	Pathway::PC7_7266
PSMB4	相关通路	Pathway::PC7_1521
MAPK3	相关通路	Pathway::WP75_r83867
FGF8	相关通路	Pathway::PC7_7439
MAPK1	相关通路	Pathway::WP2035_r78536
BMP4	相关通路	Pathway::WP236_r80209
PRKCA	相关通路	Pathway::PC7_6098
TRH	相关通路	Pathway::PC7_4107
PGK1	相关通路	Pathway::PC7_4340
CBS	相关通路	Pathway::WP2333_r72015
CCNA2	相关通路	Pathway::PC7_5529
DUSP3	相关通路	Pathway::PC7_3434
MAP2K2	相关通路	Pathway::PC7_6618
VDR	相关通路	Pathway::PC7_4116
PRKAG2	相关通路	Pathway::PC7_6175
PSME3	相关通路	Pathway::PC7_4037
YWHAB	相关通路	Pathway::PC7_1213
PPARGC1A	相关通路	Pathway::WP706_r80056
THBS1	相关通路	Pathway::PC7_7717
GNAI1	相关通路	Pathway::PC7_6909
RBP4	相关通路	Pathway::PC7_3278
MAPK3	相关通路	Pathway::PC7_5560
IFNB1	相关通路	Pathway::WP12_r81176
PSENEN	相关通路	Pathway::PC7_7463
STAT1	相关通路	Pathway::PC7_4637
CRHR1	相关通路	Pathway::WP334_r79716
CD86	相关通路	Pathway::PC7_7475
RPS6KA3	相关通路	Pathway::PC7_5051
CA12	相关通路	Pathway::PC7_6955
MEF2A	相关通路	Pathway::WP236_r80209
CHUK	相关通路	Pathway::PC7_7786
PLAUR	相关通路	Pathway::PC7_1696
SLC1A2	相关通路	Pathway::PC7_8354
GCK	相关通路	Pathway::PC7_4466
LDLR	相关通路	Pathway::PC7_3278
APOA1	相关通路	Pathway::PC7_4335
MCFD2	相关通路	Pathway::PC7_8361
FGFR3	相关通路	Pathway::PC7_7720
IGFBP1	相关通路	Pathway::PC7_6143
MMP9	相关通路	Pathway::PC7_2373
THBS1	相关通路	Pathway::PC7_6514
ADRA1A	相关通路	Pathway::PC7_3991
CDKN1B	相关通路	Pathway::PC7_7230
CASP3	相关通路	Pathway::WP2377_r80437
RPL11	相关通路	Pathway::PC7_4112
CDH1	相关通路	Pathway::WP179_r70629
TGM2	相关通路	Pathway::PC7_2076
E2F1	相关通路	Pathway::WP2586_r79995
SERPINF2	相关通路	Pathway::PC7_3284
LPL	相关通路	Pathway::PC7_4992
ACADM	相关通路	Pathway::PC7_3882
HTR2B	相关通路	Pathway::WP58_r80015
CX3CL1	相关通路	Pathway::PC7_4044
CCNB1	相关通路	Pathway::PC7_2520
JAK2	相关通路	Pathway::PC7_5983
SMAD7	相关通路	Pathway::PC7_4116
PRKACA	相关通路	Pathway::PC7_5029
ERBB2	相关通路	Pathway::WP2034_r80016
ADAM17	相关通路	Pathway::PC7_7444
KIT	相关通路	Pathway::PC7_5772
JUP	相关通路	Pathway::PC7_2526
MAP2K1	相关通路	Pathway::PC7_3328
CDKN1B	相关通路	Pathway::PC7_2833
NOS3	相关通路	Pathway::PC7_8208
CTNNB1	相关通路	Pathway::PC7_7660
MET	相关通路	Pathway::PC7_7424
IRF8	相关通路	Pathway::PC7_4773
GRB2	相关通路	Pathway::PC7_5882
CSF2	相关通路	Pathway::PC7_3996
HSP90AA1	相关通路	Pathway::PC7_7425
JAK2	相关通路	Pathway::WP364_r83783
MDM2	相关通路	Pathway::PC7_3700
F5	相关通路	Pathway::PC7_2671
CYP11A1	相关通路	Pathway::PC7_5322
RXRA	相关通路	Pathway::PC7_3084
PENK	相关通路	Pathway::PC7_3992
CASP9	相关通路	Pathway::PC7_6994
CD14	相关通路	Pathway::PC7_8329
ABCB1	相关通路	Pathway::WP2875_r79890
CTLA4	相关通路	Pathway::WP2328_r84648
IKBKG	相关通路	Pathway::PC7_6786
FNTA	相关通路	Pathway::PC7_1688
GRIA3	相关通路	Pathway::PC7_8340
JAK1	相关通路	Pathway::PC7_4663
CDKN1A	相关通路	Pathway::PC7_7230
PIK3R1	相关通路	Pathway::WP49_r78543
PIK3CA	相关通路	Pathway::PC7_10400
MYC	相关通路	Pathway::PC7_6914
AVPR2	相关通路	Pathway::WP24_r79999
NCOA1	相关通路	Pathway::PC7_6432
PSMB4	相关通路	Pathway::PC7_8709
MAPK1	相关通路	Pathway::PC7_4613
MAPK1	相关通路	Pathway::WP2864_r79278
RAF1	相关通路	Pathway::WP2643_r74251
BRAF	相关通路	Pathway::PC7_3983
CYP3A4	相关通路	Pathway::WP2874_r82709
F10	相关通路	Pathway::PC7_6540
JUP	相关通路	Pathway::PC7_8664
NCOR1	相关通路	Pathway::PC7_3882
NDUFS2	相关通路	Pathway::PC7_8229
GSK3B	相关通路	Pathway::WP399_r79474
