化合物	关系	基因
FERULIC ACID	相关基因	CA12
FERULIC ACID	相关基因	ALOX5
FERULIC ACID	相关基因	PTPN1
FERULIC ACID	相关基因	EGFR
FERULIC ACID	相关基因	CA7
FERULIC ACID	相关基因	CA2
FERULIC ACID	相关基因	CA1
FERULIC ACID	相关基因	MMP9
FERULIC ACID	相关基因	DPP4
FERULIC ACID	相关基因	CA5B
FERULIC ACID	相关基因	CA14
FERULIC ACID	相关基因	APP
gamma-Fagarine	相关基因	KCNA3
gamma-Fagarine	相关基因	ACHE
Heriguard	相关基因	PSIP1
Heriguard	相关基因	HSP90AB1
Heriguard	相关基因	MMP13
Heriguard	相关基因	HDAC1
Heriguard	相关基因	MMP12
Heriguard	相关基因	APP
Javanicin	相关基因	PRKCA
Javanicin	相关基因	GSK3B
Javanicin	相关基因	OPRK1
Javanicin	相关基因	DUSP3
Javanicin	相关基因	KCNJ5
limonin	相关基因	OPRK1
limonin	相关基因	OPRD1
limonin	相关基因	OPRM1
L-Tetrandrine	相关基因	SLC47A1
L-Tetrandrine	相关基因	CHRNA3
L-Tetrandrine	相关基因	BCHE
L-Tetrandrine	相关基因	KCNH2
L-Tetrandrine	相关基因	CHRNA2
L-Tetrandrine	相关基因	ABCC4
L-Tetrandrine	相关基因	CHRNA4
Magnesium valproate	相关基因	SLC22A6
Magnesium valproate	相关基因	FABP3
Magnesium valproate	相关基因	PTPN1
Magnesium valproate	相关基因	FABP1
Magnesium valproate	相关基因	SLC22A8
Magnesium valproate	相关基因	HSD11B1
Magnograndiolide	相关基因	XBP1
Magnograndiolide	相关基因	LIG1
Magnograndiolide	相关基因	PTGS2
Magnograndiolide	相关基因	POLB
neo-chlorogenic,acid	相关基因	MMP12
neo-chlorogenic,acid	相关基因	APP
neo-chlorogenic,acid	相关基因	PSIP1
neo-chlorogenic,acid	相关基因	HSP90AB1
neo-chlorogenic,acid	相关基因	MMP13
neo-chlorogenic,acid	相关基因	HDAC1
Obaculactone	相关基因	OPRK1
Obaculactone	相关基因	OPRD1
Obaculactone	相关基因	OPRM1
Obamegine	相关基因	KCNH2
Obamegine	相关基因	CHRNA2
Obamegine	相关基因	CHRNA4
Obamegine	相关基因	BCHE
Obamegine	相关基因	SLC47A1
Obamegine	相关基因	CHRNA3
Obamegine	相关基因	ABCC4
Oroxindin	相关基因	PTPN1
Oroxindin	相关基因	KDM1A
Oxyacanthine	相关基因	KCNH2
Oxyacanthine	相关基因	CHRNA2
Oxyacanthine	相关基因	ABCC4
Oxyacanthine	相关基因	CHRNA4
Oxyacanthine	相关基因	BCHE
Oxyacanthine	相关基因	SLC47A1
Oxyacanthine	相关基因	CHRNA3
Palmidin A	相关基因	PSIP1
p-Coumaric acid	相关基因	CA9
p-Coumaric acid	相关基因	CA5A
p-Coumaric acid	相关基因	CA12
p-Coumaric acid	相关基因	MMP9
p-Coumaric acid	相关基因	EGFR
p-Coumaric acid	相关基因	CA7
p-Coumaric acid	相关基因	CA2
p-Coumaric acid	相关基因	CA1
p-Coumaric acid	相关基因	HDAC1
p-Coumaric acid	相关基因	DPP4
p-Coumaric acid	相关基因	CA5B
p-Coumaric acid	相关基因	CA14
p-Coumaric acid	相关基因	ALOX5
p-Coumaric acid	相关基因	PTPN1
p-Coumaric acid	相关基因	HCAR2
phellodendrine	相关基因	BCHE
phellodendrine	相关基因	ADRB1
phellodendrine	相关基因	ABL1
phellodendrine	相关基因	SIGMAR1
phellodendrine	相关基因	PSIP1
phellodendrine	相关基因	KCNN2
phellodendrine	相关基因	HIF1A
phellodendrine	相关基因	DRD4
phellodendrine	相关基因	CHRNA7
phellodendrine	相关基因	ADRB3
phellodendrine	相关基因	ADRA1D
phellodendrine	相关基因	RORA
phellodendrine	相关基因	NR5A1
phellodendrine	相关基因	KCNH2
phellodendrine	相关基因	F3
phellodendrine	相关基因	DRD2
phellodendrine	相关基因	CASP9
phellodendrine	相关基因	ADRB2
phellodendrine	相关基因	ADRA1A
phellodendrine	相关基因	RBBP9
phellodendrine	相关基因	NR2F2
phellodendrine	相关基因	HTR7
phellodendrine	相关基因	EP300
phellodendrine	相关基因	DHCR7
Sodium valproate	相关基因	PTPN1
Sodium valproate	相关基因	FABP1
Sodium valproate	相关基因	SLC22A8
Sodium valproate	相关基因	HSD11B1
Sodium valproate	相关基因	SLC22A6
Sodium valproate	相关基因	FABP3
tacrolimus	相关基因	PPP3CA
tacrolimus	相关基因	FKBP5
tacrolimus	相关基因	FKBP1B
tacrolimus	相关基因	CYP3A4
tacrolimus	相关基因	MTOR
tacrolimus	相关基因	FKBP1A
tacrolimus	相关基因	FKBP4
TACROLIMUS MONOHYDRATE	相关基因	PPP3CA
TACROLIMUS MONOHYDRATE	相关基因	FKBP5
TACROLIMUS MONOHYDRATE	相关基因	FKBP1B
TACROLIMUS MONOHYDRATE	相关基因	CYP3A4
TACROLIMUS MONOHYDRATE	相关基因	MTOR
TACROLIMUS MONOHYDRATE	相关基因	FKBP1A
TACROLIMUS MONOHYDRATE	相关基因	FKBP4
Trihydroxybufosterocholanic acid	相关基因	FABP3
Trihydroxybufosterocholanic acid	相关基因	F10
Trihydroxybufosterocholanic acid	相关基因	CISD1
Trihydroxybufosterocholanic acid	相关基因	SLC22A6
Trihydroxybufosterocholanic acid	相关基因	PTPN1
Trihydroxybufosterocholanic acid	相关基因	NR3C2
Trihydroxybufosterocholanic acid	相关基因	NPC1L1
Trihydroxybufosterocholanic acid	相关基因	HSD11B1
Trihydroxybufosterocholanic acid	相关基因	GABRA1
Trihydroxybufosterocholanic acid	相关基因	FABP1
Trihydroxybufosterocholanic acid	相关基因	CYP19A1
Trihydroxybufosterocholanic acid	相关基因	VDR
Trihydroxybufosterocholanic acid	相关基因	CDC25A
Trihydroxybufosterocholanic acid	相关基因	SLC10A1
Trihydroxybufosterocholanic acid	相关基因	PTGIR
Trihydroxybufosterocholanic acid	相关基因	NR1H4
Trihydroxybufosterocholanic acid	相关基因	HSD17B3
Trihydroxybufosterocholanic acid	相关基因	GPBAR1
Trihydroxybufosterocholanic acid	相关基因	FNTA
Trihydroxybufosterocholanic acid	相关基因	CTDSP1
Trihydroxybufosterocholanic acid	相关基因	SLC22A8
Trihydroxybufosterocholanic acid	相关基因	AR
Trihydroxybufosterocholanic acid	相关基因	SHBG
Trihydroxybufosterocholanic acid	相关基因	PTGER2
Trihydroxybufosterocholanic acid	相关基因	HSD11B2
Valproate sodium	相关基因	SLC22A8
Valproate sodium	相关基因	HSD11B1
Valproate sodium	相关基因	FABP1
Valproate sodium	相关基因	SLC22A6
Valproate sodium	相关基因	FABP3
Valproate sodium	相关基因	PTPN1
VALPROIC ACID	相关基因	CTDSP1
VALPROIC ACID	相关基因	APLNR
VALPROIC ACID	相关基因	SLC22A6
VALPROIC ACID	相关基因	HSD11B1
VALPROIC ACID	相关基因	FABP1
VALPROIC ACID	相关基因	CDC25A
VALPROIC ACID	相关基因	VDR
VALPROIC ACID	相关基因	PTPN1
VALPROIC ACID	相关基因	GPBAR1
VALPROIC ACID	相关基因	AR
VALPROIC ACID	相关基因	SLC22A8
VALPROIC ACID	相关基因	NR1H4
VALPROIC ACID	相关基因	FABP3
Worenine	相关基因	SAE1
Worenine	相关基因	CYP1B1
Worenine	相关基因	UBE2I
Worenine	相关基因	RXRA
Worenine	相关基因	BCHE
Worenine	相关基因	SENP8
Worenine	相关基因	CYP3A4
Worenine	相关基因	ACHE
Zosimin	相关基因	PTPN1
Zosimin	相关基因	NPY1R
