GOterm	关系	基因
GO:0110032	相关基因	 CDC25B
GO:0110032	相关基因	 CDC25C
GO:1900034	相关基因	HSP90AA1
GO:1900034	相关基因	 FKBP4
GO:1900034	相关基因	 HSP90AB1
GO:1900034	相关基因	 MTOR
GO:1900034	相关基因	 EP300
GO:1900034	相关基因	 GSK3B
GO:0019221	相关基因	F3
GO:0019221	相关基因	 HSP90AA1
GO:0019221	相关基因	 HIF1A
GO:0019221	相关基因	 PTGS2
GO:0019221	相关基因	 ALOX5
GO:0019221	相关基因	 MMP9
GO:0019221	相关基因	 OPRD1
GO:0019221	相关基因	 PIK3CD
GO:0019221	相关基因	 TNF
GO:0019221	相关基因	 OPRM1
GO:0019221	相关基因	 RORA
GO:0019221	相关基因	 STAT3
GO:0070374	相关基因	EGFR
GO:0070374	相关基因	 PRKCA
GO:0070374	相关基因	 ABL1
GO:0070374	相关基因	 APP
GO:0070374	相关基因	 CHRNA7
GO:0070374	相关基因	 HTR2C
GO:0070374	相关基因	 DRD2
GO:0070374	相关基因	 ADRA1A
GO:0070374	相关基因	 TNF
GO:0070374	相关基因	 OPRM1
GO:0070374	相关基因	 HTR2B
GO:0034644	相关基因	PTGS2
GO:0034644	相关基因	 KDM1A
GO:0034644	相关基因	 CASP9
GO:0034644	相关基因	 EP300
GO:0034644	相关基因	 CDC25A
GO:0034644	相关基因	 AURKB
GO:0033138	相关基因	EGFR
GO:0033138	相关基因	 HSP90AA1
GO:0033138	相关基因	 HSP90AB1
GO:0033138	相关基因	 PTGS2
GO:0033138	相关基因	 APP
GO:0033138	相关基因	 OPRD1
GO:0033138	相关基因	 TNF
