head	rel	tail	score
Compound::DB08938	DRUGBANK::treats::Compound:Disease	Disease::MESH:D004402	-0.273532301
Compound::DB00175	DRUGBANK::treats::Compound:Disease	Disease::MESH:D004402	-0.281421214
Compound::DB00424	DRUGBANK::treats::Compound:Disease	Disease::MESH:D004402	-0.287075907
Compound::DB00364	DRUGBANK::treats::Compound:Disease	Disease::MESH:D004402	-0.287537664
Compound::DB00443	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000795	-0.157217771
Compound::DB00788	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000795	-0.182979941
Compound::DB00175	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000795	-0.211519673
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000795	-0.219391614
Compound::DB00175	DRUGBANK::treats::Compound:Disease	Disease::MESH:D008881	-0.255560845
Compound::DB08813	DRUGBANK::treats::Compound:Disease	Disease::MESH:D008881	-0.27240777
Compound::DB00766	DRUGBANK::treats::Compound:Disease	Disease::MESH:D008881	-0.280213058
Compound::DB00103	DRUGBANK::treats::Compound:Disease	Disease::MESH:D008881	-0.291853726
Compound::DB00364	DRUGBANK::treats::Compound:Disease	Disease::MESH:D008881	-0.29287973
Compound::DB01018	DRUGBANK::treats::Compound:Disease	Disease::MESH:D008881	-0.293381006
Compound::DB01171	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003324	-0.176366687
Compound::DB06404	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003324	-0.23235932
Compound::DB00766	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003324	-0.236495748
Compound::DB00339	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003324	-0.240519717
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003324	-0.249075681
Compound::DB00364	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003324	-0.264101833
Compound::DB00424	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003324	-0.265114248
Compound::DB08938	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003324	-0.27494058
Compound::DB00966	DRUGBANK::treats::Compound:Disease	Disease::MESH:D009203	-0.020512419
Compound::DB00609	DRUGBANK::treats::Compound:Disease	Disease::MESH:D009203	-0.03374137
Compound::DB00334	DRUGBANK::treats::Compound:Disease	Disease::MESH:D009203	-0.041404992
Compound::DB00918	DRUGBANK::treats::Compound:Disease	Disease::MESH:D009203	-0.041819371
Compound::DB00332	DRUGBANK::treats::Compound:Disease	Disease::MESH:D009203	-0.043897413
Compound::DB00788	DRUGBANK::treats::Compound:Disease	Disease::MESH:D009203	-0.047167223
Compound::DB00722	DRUGBANK::treats::Compound:Disease	Disease::MESH:D009203	-0.058440283
Compound::DB00951	DRUGBANK::treats::Compound:Disease	Disease::MESH:D020521	-0.050028276
Compound::DB06404	DRUGBANK::treats::Compound:Disease	Disease::MESH:D020521	-0.061030004
Compound::DB00766	DRUGBANK::treats::Compound:Disease	Disease::MESH:D020521	-0.065067515
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D020521	-0.070641957
Compound::DB00394	DRUGBANK::treats::Compound:Disease	Disease::MESH:D020521	-0.081183515
Compound::DB00215	DRUGBANK::treats::Compound:Disease	Disease::MESH:D020521	-0.083001889
Compound::DB00615	DRUGBANK::treats::Compound:Disease	Disease::MESH:D020521	-0.09271536
Compound::DB00364	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003865	-0.227622285
Compound::DB00766	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003865	-0.241166368
Compound::DB00175	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003865	-0.252134442
Compound::DB00571	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003865	-0.257312685
Compound::DB00175	DRUGBANK::treats::Compound:Disease	Disease::MESH:D006973	-0.247091785
Compound::DB00501	DRUGBANK::treats::Compound:Disease	Disease::MESH:D006973	-0.251855522
Compound::DB00766	DRUGBANK::treats::Compound:Disease	Disease::MESH:D006973	-0.254520565
Compound::DB08813	DRUGBANK::treats::Compound:Disease	Disease::MESH:D006973	-0.257391095
Compound::DB01223	DRUGBANK::treats::Compound:Disease	Disease::MESH:D006973	-0.262823194
Compound::DB01171	DRUGBANK::treats::Compound:Disease	Disease::MESH:D006973	-0.265298337
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D006973	-0.276729792
Compound::DB00477	DRUGBANK::treats::Compound:Disease	Disease::MESH:D001249	-5.279167175
Compound::DB00788	DRUGBANK::treats::Compound:Disease	Disease::MESH:D001249	-5.585639954
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D001249	-5.620412827
Compound::DB00841	DRUGBANK::treats::Compound:Disease	Disease::MESH:D001249	-5.977991581
Compound::DB09303	DRUGBANK::treats::Compound:Disease	Disease::MESH:D001249	-5.983431816
Compound::DB01005	DRUGBANK::treats::Compound:Disease	Disease::MESH:D001249	-6.024224281
Compound::DB00381	DRUGBANK::treats::Compound:Disease	Disease::MESH:D001249	-6.048511505
Compound::DB00315	DRUGBANK::treats::Compound:Disease	Disease::MESH:D009101	-5.068790913
Compound::DB00176	DRUGBANK::treats::Compound:Disease	Disease::MESH:D009101	-6.110694885
Compound::DB03852	DRUGBANK::treats::Compound:Disease	Disease::MESH:D009101	-6.455666542
Compound::DB00492	DRUGBANK::treats::Compound:Disease	Disease::MESH:D009101	-6.519650936
Compound::DB00859	DRUGBANK::treats::Compound:Disease	Disease::MESH:D009101	-6.665428162
Compound::DB01005	DRUGBANK::treats::Compound:Disease	Disease::MESH:D009101	-6.730640888
Compound::DB00876	DRUGBANK::treats::Compound:Disease	Disease::MESH:D009101	-6.796078205
Compound::DB00175	DRUGBANK::treats::Compound:Disease	Disease::MESH:D012852	-0.253928185
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D012852	-0.258486211
Compound::DB06404	DRUGBANK::treats::Compound:Disease	Disease::MESH:D012852	-0.261844516
Compound::DB00103	DRUGBANK::treats::Compound:Disease	Disease::MESH:D012852	-0.267643392
Compound::DB00544	DRUGBANK::treats::Compound:Disease	Disease::MESH:D012852	-0.277177244
Compound::DB00594	DRUGBANK::treats::Compound:Disease	Disease::MESH:D005764	-5.341999054
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D005764	-5.51059866
Compound::DB00471	DRUGBANK::treats::Compound:Disease	Disease::MESH:D005764	-5.919490814
Compound::DB06802	DRUGBANK::treats::Compound:Disease	Disease::MESH:D005764	-5.97752142
Compound::DB00424	DRUGBANK::treats::Compound:Disease	Disease::MESH:D005764	-6.140829563
Compound::DB00176	DRUGBANK::treats::Compound:Disease	Disease::MESH:D005764	-6.249205589
Compound::DB00526	DRUGBANK::treats::Compound:Disease	Disease::MESH:D005764	-6.351357937
Compound::DB08813	DRUGBANK::treats::Compound:Disease	Disease::MESH:D014376	-5.543828487
Compound::DB00103	DRUGBANK::treats::Compound:Disease	Disease::MESH:D014376	-6.122764111
Compound::DB00457	DRUGBANK::treats::Compound:Disease	Disease::MESH:D014376	-6.43973875
Compound::DB01171	DRUGBANK::treats::Compound:Disease	Disease::MESH:D014376	-6.540091038
Compound::DB00175	DRUGBANK::treats::Compound:Disease	Disease::MESH:D014376	-6.61213398
Compound::DB01018	DRUGBANK::treats::Compound:Disease	Disease::MESH:D014376	-6.622164249
Compound::DB06404	DRUGBANK::treats::Compound:Disease	Disease::MESH:D014376	-6.671898842
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D005909	-26.27487564
Compound::DB00176	DRUGBANK::treats::Compound:Disease	Disease::MESH:D005909	-27.32437515
Compound::DB06802	DRUGBANK::treats::Compound:Disease	Disease::MESH:D005909	-27.52553558
Compound::DB00175	DRUGBANK::treats::Compound:Disease	Disease::MESH:D005909	-27.66121674
Compound::DB00788	DRUGBANK::treats::Compound:Disease	Disease::MESH:D005909	-27.89878845
Compound::DB00103	DRUGBANK::treats::Compound:Disease	Disease::MESH:D005909	-28.26375198
Compound::DB00766	DRUGBANK::treats::Compound:Disease	Disease::MESH:D005909	-28.27783966
Compound::DB01171	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000437	-0.203929782
Compound::DB08938	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000437	-0.205585435
Compound::DB00175	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000437	-0.226730838
Compound::DB00766	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000437	-0.23459956
Compound::DB00273	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000437	-0.245315686
Compound::DB00571	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000437	-0.249530941
Compound::DB00615	DRUGBANK::treats::Compound:Disease	Disease::MESH:D019964	-5.80036974
Compound::DB01018	DRUGBANK::treats::Compound:Disease	Disease::MESH:D019964	-6.033650875
Compound::DB00457	DRUGBANK::treats::Compound:Disease	Disease::MESH:D019964	-6.150190353
Compound::DB00855	DRUGBANK::treats::Compound:Disease	Disease::MESH:D019964	-6.289417744
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D019964	-6.521903515
Compound::DB00070	DRUGBANK::treats::Compound:Disease	Disease::MESH:D019964	-6.597717762
Compound::DB00841	DRUGBANK::treats::Compound:Disease	Disease::MESH:D019964	-6.687051296
Compound::DB01018	DRUGBANK::treats::Compound:Disease	Disease::MESH:D007938	-6.594594002
Compound::DB00808	DRUGBANK::treats::Compound:Disease	Disease::MESH:D007938	-6.696718693
Compound::DB00070	DRUGBANK::treats::Compound:Disease	Disease::MESH:D007938	-6.764457703
Compound::DB00878	DRUGBANK::treats::Compound:Disease	Disease::MESH:D007938	-6.788648605
Compound::DB01238	DRUGBANK::treats::Compound:Disease	Disease::MESH:D007938	-6.886126518
Compound::DB00594	DRUGBANK::treats::Compound:Disease	Disease::MESH:D007938	-6.933401108
Compound::DB08938	DRUGBANK::treats::Compound:Disease	Disease::MESH:D007938	-7.008191586
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000799	-5.19588995
Compound::DB01098	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000799	-5.418480396
Compound::DB00877	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000799	-5.606262207
Compound::DB00526	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000799	-5.686582565
Compound::DB00501	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000799	-5.791588783
Compound::DB00424	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000799	-6.013188362
Compound::DB06404	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000799	-6.152266026
Compound::DB00970	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000799	-6.212911129
Compound::DB01104	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000799	-6.233433247
Compound::DB00175	DRUGBANK::treats::Compound:Disease	Disease::MESH:D007249	-0.262538016
Compound::DB00766	DRUGBANK::treats::Compound:Disease	Disease::MESH:D007249	-0.265999734
Compound::DB06404	DRUGBANK::treats::Compound:Disease	Disease::MESH:D007249	-0.2815364
Compound::DB00501	DRUGBANK::treats::Compound:Disease	Disease::MESH:D007249	-0.288054913
Compound::DB01005	DRUGBANK::treats::Compound:Disease	Disease::MESH:D007249	-0.295665383
Compound::DB01223	DRUGBANK::treats::Compound:Disease	Disease::MESH:D007249	-0.29570204
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D007249	-0.30385533
Compound::DB01005	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013700	-5.510516167
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013700	-5.602235317
Compound::DB13928	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013700	-5.694911003
Compound::DB00339	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013700	-5.82691288
Compound::DB06802	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013700	-5.911921978
Compound::DB08813	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013700	-6.059630871
Compound::DB03852	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013700	-6.111869812
Compound::DB00175	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013700	-6.161046982
Compound::DB00332	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003863	-0.02949781
Compound::DB00966	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003863	-0.030286347
Compound::DB00841	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003863	-0.032340765
Compound::DB00696	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003863	-0.04200682
Compound::DB00788	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003863	-0.04628069
Compound::DB00175	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003863	-0.052834235
Compound::DB01018	DRUGBANK::treats::Compound:Disease	Disease::MESH:C567379	-5.664669037
Compound::DB08813	DRUGBANK::treats::Compound:Disease	Disease::MESH:C567379	-5.968066216
Compound::DB00855	DRUGBANK::treats::Compound:Disease	Disease::MESH:C567379	-6.106430531
Compound::DB00380	DRUGBANK::treats::Compound:Disease	Disease::MESH:C567379	-6.142476559
Compound::DB00434	DRUGBANK::treats::Compound:Disease	Disease::MESH:C567379	-6.27490139
Compound::DB03852	DRUGBANK::treats::Compound:Disease	Disease::MESH:C567379	-6.340303421
Compound::DB08938	DRUGBANK::treats::Compound:Disease	Disease::MESH:C567379	-6.414320469
Compound::DB00951	DRUGBANK::treats::Compound:Disease	Disease::MESH:C567379	-6.452196121
Compound::DB00175	DRUGBANK::treats::Compound:Disease	Disease::MESH:D029424	-0.237237439
Compound::DB00103	DRUGBANK::treats::Compound:Disease	Disease::MESH:D029424	-0.250052392
Compound::DB01005	DRUGBANK::treats::Compound:Disease	Disease::MESH:D029424	-0.262163371
Compound::DB00479	DRUGBANK::treats::Compound:Disease	Disease::MESH:D029424	-0.276803851
Compound::DB00394	DRUGBANK::treats::Compound:Disease	Disease::MESH:D029424	-0.277831584
Compound::DB01171	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013971	-0.205989957
Compound::DB00175	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013971	-0.224069238
Compound::DB00766	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013971	-0.228898048
Compound::DB08938	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013971	-0.235134289
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013971	-0.24913767
Compound::DB00364	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013971	-0.250044912
Compound::DB00571	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013276	-0.236636534
Compound::DB08813	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013276	-0.35426262
Compound::DB00615	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013276	-0.432714254
Compound::DB00492	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013276	-0.506322265
Compound::DB08938	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013276	-0.594854474
Compound::DB00855	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013276	-0.731130302
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D002311	-8.066077232
Compound::DB01238	DRUGBANK::treats::Compound:Disease	Disease::MESH:D002311	-8.522248268
Compound::DB00176	DRUGBANK::treats::Compound:Disease	Disease::MESH:D002311	-8.864407539
Compound::DB01018	DRUGBANK::treats::Compound:Disease	Disease::MESH:D002311	-8.922555923
Compound::DB00841	DRUGBANK::treats::Compound:Disease	Disease::MESH:D002311	-9.011287689
Compound::DB01223	DRUGBANK::treats::Compound:Disease	Disease::MESH:D002311	-9.122966766
Compound::DB00766	DRUGBANK::treats::Compound:Disease	Disease::MESH:D004938	-0.220812842
Compound::DB08813	DRUGBANK::treats::Compound:Disease	Disease::MESH:D004938	-0.245082006
Compound::DB01223	DRUGBANK::treats::Compound:Disease	Disease::MESH:D004938	-0.24816519
Compound::DB00175	DRUGBANK::treats::Compound:Disease	Disease::MESH:D004938	-0.250098646
Compound::DB00288	DRUGBANK::treats::Compound:Disease	Disease::MESH:D004938	-0.252381742
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D004938	-0.252731591
Compound::DB00479	DRUGBANK::treats::Compound:Disease	Disease::MESH:D004938	-0.268399686
Compound::DB08938	DRUGBANK::treats::Compound:Disease	Disease::MESH:D016889	-4.858500957
Compound::DB00364	DRUGBANK::treats::Compound:Disease	Disease::MESH:D016889	-4.990150928
Compound::DB00479	DRUGBANK::treats::Compound:Disease	Disease::MESH:D016889	-5.088734627
Compound::DB00477	DRUGBANK::treats::Compound:Disease	Disease::MESH:D016889	-5.648136616
Compound::DB00951	DRUGBANK::treats::Compound:Disease	Disease::MESH:D016889	-5.790474892
Compound::DB01098	DRUGBANK::treats::Compound:Disease	Disease::MESH:D016889	-5.89457655
Compound::DB00788	DRUGBANK::treats::Compound:Disease	Disease::MESH:D016889	-5.973724365
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D016889	-6.033085346
Compound::DB08813	DRUGBANK::treats::Compound:Disease	Disease::MESH:D015663	-0.222405657
Compound::DB00339	DRUGBANK::treats::Compound:Disease	Disease::MESH:D015663	-0.241883978
Compound::DB00364	DRUGBANK::treats::Compound:Disease	Disease::MESH:D015663	-0.244719237
Compound::DB00175	DRUGBANK::treats::Compound:Disease	Disease::MESH:D015663	-0.254638851
Compound::DB00766	DRUGBANK::treats::Compound:Disease	Disease::MESH:D015663	-0.254692316
Compound::DB01005	DRUGBANK::treats::Compound:Disease	Disease::MESH:D015663	-0.261409581
Compound::DB00364	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003866	-0.237953931
Compound::DB01171	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003866	-0.261125892
Compound::DB00103	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003866	-0.266848534
Compound::DB00222	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003866	-0.277401417
Compound::DB00766	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003866	-0.280016661
Compound::DB00966	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003866	-0.302713871
Compound::DB06404	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003866	-0.308492541
Compound::DB00696	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003866	-0.309237003
Compound::DB00424	DRUGBANK::treats::Compound:Disease	Disease::MESH:D009422	-5.862259388
