head	rel	tail	score
TCMsymptom::Zu Jing Hong Zhong Re Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.176301718
TCMsymptom::Xiao Er Ji Liang Feng	Syndrome::Symptom	Disease::MESH:D056587	-0.218636796
TCMsymptom::Xiao Er Liang Ti	Syndrome::Symptom	Disease::MESH:D056587	-0.192429364
TCMsymptom::Xiao Er Liang Xian	Syndrome::Symptom	Disease::MESH:D056587	-0.170445129
TCMsymptom::Xiao Er Man Liang	Syndrome::Symptom	Disease::MESH:D056587	-0.152558938
TCMsymptom::Niao Re Se Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.378570288
TCMsymptom::Dai Xia Se Chi	Syndrome::Symptom	Disease::MESH:D056587	-0.346413016
TCMsymptom::Re Bi	Syndrome::Symptom	Disease::MESH:D056587	-0.259723902
TCMsymptom::Guan Fu Pi Man Zhang Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.589818835
TCMsymptom::Jiao Qi Zhong Du	Syndrome::Symptom	Disease::MESH:D056587	-0.271221876
TCMsymptom::Xi Suan Ruan	Syndrome::Symptom	Disease::MESH:D056587	-0.09574423
TCMsymptom::Xie Lin Se Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.194070265
TCMsymptom::Huang Shui Lin Li	Syndrome::Symptom	Disease::MESH:D056587	-0.3283481
TCMsymptom::Shen Huang	Syndrome::Symptom	Disease::MESH:D056587	-0.223890692
TCMsymptom::Guan Xie Zhang Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.260864288
TCMsymptom::Gang Men Zhuo Re	Syndrome::Symptom	Disease::MESH:D056587	-0.097116821
TCMsymptom::Kou Ke	Syndrome::Symptom	Disease::MESH:D056587	-0.277907163
TCMsymptom::Hou Zhong	Syndrome::Symptom	Disease::MESH:D056587	-0.226160526
TCMsymptom::Xie Li Hou Zhong	Syndrome::Symptom	Disease::MESH:D056587	-0.291062087
TCMsymptom::Cao Za Si Ji	Syndrome::Symptom	Disease::MESH:D056587	-0.338484615
TCMsymptom::Da Bian Chu Xie	Syndrome::Symptom	Disease::MESH:D056587	-0.088110596
TCMsymptom::E Ni	Syndrome::Symptom	Disease::MESH:D056587	-0.116866119
TCMsymptom::Qu Chi Teng Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.485627353
TCMsymptom::Ru Fang Teng Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.114163563
TCMsymptom::Ru Fang You Kuai	Syndrome::Symptom	Disease::MESH:D056587	-0.158788323
TCMsymptom::Ru Pi	Syndrome::Symptom	Disease::MESH:D056587	-0.248445421
TCMsymptom::Ru Yong	Syndrome::Symptom	Disease::MESH:D056587	-0.192083582
TCMsymptom::Wei Suan Guo Duo	Syndrome::Symptom	Disease::MESH:D056587	-0.258083433
TCMsymptom::Ya Ken Hong Zhong	Syndrome::Symptom	Disease::MESH:D056587	-0.126863688
TCMsymptom::Xiao Er Gan Ji	Syndrome::Symptom	Disease::MESH:D056587	-0.181812584
TCMsymptom::Chang Feng Bian Xie	Syndrome::Symptom	Disease::MESH:D056587	-0.184860185
TCMsymptom::Chang Feng Xia Xie	Syndrome::Symptom	Disease::MESH:D056587	-0.036464412
TCMsymptom::Chi Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.071178123
TCMsymptom::Chi Ken Zhong Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.29269138
TCMsymptom::Fen Ci	Syndrome::Symptom	Disease::MESH:D056587	-0.098277718
TCMsymptom::Hong Re	Syndrome::Symptom	Disease::MESH:D056587	-0.465978175
TCMsymptom::Liang Sai Zhong	Syndrome::Symptom	Disease::MESH:D056587	-0.3638632
TCMsymptom::Mian Chi	Syndrome::Symptom	Disease::MESH:D056587	-0.193878099
TCMsymptom::She Jiang	Syndrome::Symptom	Disease::MESH:D056587	-0.060544159
TCMsymptom::Tai Dong Bu An	Syndrome::Symptom	Disease::MESH:D056587	-0.254088044
TCMsymptom::Tian Xing Chi Yan	Syndrome::Symptom	Disease::MESH:D056587	-0.274491549
TCMsymptom::Yong Ju Bu Kui	Syndrome::Symptom	Disease::MESH:D056587	-0.218278259
TCMsymptom::Yong Ju Ding Du	Syndrome::Symptom	Disease::MESH:D056587	-0.283673555
TCMsymptom::Yong Ju Nan Kui	Syndrome::Symptom	Disease::MESH:D056587	-0.226369604
TCMsymptom::Yue Jing Guo Duo	Syndrome::Symptom	Disease::MESH:D056587	-0.140573904
TCMsymptom::Yue Jing Ti Qian	Syndrome::Symptom	Disease::MESH:D056587	-0.349195927
TCMsymptom::Zhi Chuang Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.124691062
TCMsymptom::Er Bian Bu Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.3094877
TCMsymptom::Tian Pao Chuang	Syndrome::Symptom	Disease::MESH:D056587	-0.173284858
TCMsymptom::Shi Re Ji Zhi Bian Mi	Syndrome::Symptom	Disease::MESH:D056587	-0.156755343
TCMsymptom::E Lu Bu Xing	Syndrome::Symptom	Disease::MESH:D056587	-0.391467571
TCMsymptom::Huo Du Chuang Yang	Syndrome::Symptom	Disease::MESH:D056587	-0.048692882
TCMsymptom::Liao Chuang	Syndrome::Symptom	Disease::MESH:D056587	-0.427509457
TCMsymptom::Yong Chuang Zhong Du	Syndrome::Symptom	Disease::MESH:D056587	-0.096710801
TCMsymptom::Yong Ju Nong Cheng Bu Kui	Syndrome::Symptom	Disease::MESH:D056587	-0.287331432
TCMsymptom::Yong Zhong Ding Chuang	Syndrome::Symptom	Disease::MESH:D056587	-0.067520611
TCMsymptom::Yong Zhong Chuang Du	Syndrome::Symptom	Disease::MESH:D056587	-0.156441793
TCMsymptom::Zhi Lv	Syndrome::Symptom	Disease::MESH:D056587	-0.047210783
TCMsymptom::Chang Yong	Syndrome::Symptom	Disease::MESH:D056587	-0.287456244
TCMsymptom::Lian Chuang	Syndrome::Symptom	Disease::MESH:D056587	-0.567965388
TCMsymptom::Bi Liu Zhuo Ti	Syndrome::Symptom	Disease::MESH:D056587	-0.183355495
TCMsymptom::Bi Yang	Syndrome::Symptom	Disease::MESH:D056587	-0.213711381
TCMsymptom::Ge Tan Se Huang	Syndrome::Symptom	Disease::MESH:D056587	-0.289158404
TCMsymptom::Mu Hua	Syndrome::Symptom	Disease::MESH:D056587	-0.326714188
TCMsymptom::Mu Se	Syndrome::Symptom	Disease::MESH:D056587	-0.090019882
TCMsymptom::Mu Yang	Syndrome::Symptom	Disease::MESH:D056587	-0.324394643
TCMsymptom::Tuo Fa	Syndrome::Symptom	Disease::MESH:D056587	-0.218753472
TCMsymptom::Yan Hong	Syndrome::Symptom	Disease::MESH:D056587	-0.073843427
TCMsymptom::Yan Nian Mo Chong Xie	Syndrome::Symptom	Disease::MESH:D056587	-0.30044663
TCMsymptom::Yan Sheng Yi Mo	Syndrome::Symptom	Disease::MESH:D056587	-0.10964559
TCMsymptom::Mu Se Tong	Syndrome::Symptom	Disease::MESH:D056587	-0.124057442
TCMsymptom::Tu Chuang	Syndrome::Symptom	Disease::MESH:D056587	-0.19272171
TCMsymptom::Kou She Sheng Chuang	Symptom::Disease	Disease::MESH:D049932	-0.496675551
TCMsymptom::Mu Fa Huang	Symptom::Disease	Disease::MESH:D049932	-0.325062066
TCMsymptom::Shu Xie Fa Re	Symptom::Disease	Disease::MESH:D049932	-0.222726583
TCMsymptom::Xiao Fu Zhang	Syndrome::Symptom	Disease::MESH:D049932	-0.476525217
TCMsymptom::Xiong Xie Pi Men	Symptom::Disease	Disease::MESH:D049932	-0.257146329
TCMsymptom::Dong Zhe Han Chu	Symptom::Disease	Disease::MESH:D049932	-0.111785136
TCMsymptom::Gan Qu Zhang Tong	Symptom::Disease	Disease::MESH:D046351	-0.043569226
TCMsymptom::Sou Tong	Syndrome::Symptom	Disease::MESH:D046351	-0.340755075
TCMsymptom::Xiao Bian Se Tong	Symptom::Disease	Disease::MESH:D046351	-0.073712423
TCMsymptom::Xiong Fu Zhang Tong	Symptom::Disease	Disease::MESH:D046351	-0.258770585
TCMsymptom::Xiong Ge Pi Man	Syndrome::Symptom	Disease::MESH:D046351	-0.326693475
TCMsymptom::Zheng Jia Pi Kuai	Syndrome::Symptom	Disease::MESH:D046351	-0.114965461
TCMsymptom::Mian Huang	Syndrome::Symptom	Disease::MESH:D046351	-0.342384249
TCMsymptom::Guan Xie Zhang Tong	Symptom::Disease	Disease::MESH:D046351	-0.176138356
TCMsymptom::Kou Chou	Syndrome::Symptom	Disease::MESH:D046351	-0.075288735
TCMsymptom::Chang Feng Xia Xie	Syndrome::Symptom	Disease::MESH:D046351	-0.263269126
TCMsymptom::Kou Gan	Symptom::Disease	Disease::MESH:D046349	-0.449504286
TCMsymptom::Xie Re Fa Ban	Symptom::Disease	Disease::MESH:D046349	-0.171449125
TCMsymptom::E Xin	Symptom::Disease	Disease::MESH:D046349	-0.135239586
TCMsymptom::Er Long	Symptom::Disease	Disease::MESH:D046349	-0.049382113
TCMsymptom::Guan Jie Hong Zhong Re Tong	Symptom::Disease	Disease::MESH:D046349	-0.278537273
TCMsymptom::Re Li	Symptom::Disease	Disease::MESH:D046349	-0.229375377
TCMsymptom::Xie Lin	Symptom::Disease	Disease::MESH:D046349	-0.11929483
TCMsymptom::Zhang Tong	Symptom::Disease	Disease::MESH:D046349	-0.046862405
TCMsymptom::Lao Re	Symptom::Disease	Disease::MESH:D046349	-0.00780319
TCMsymptom::Ting Er	Symptom::Disease	Disease::MESH:D046349	-0.16802083
TCMsymptom::Zhi Ti Zhong	Symptom::Disease	Disease::MESH:D046349	-0.180926815
TCMsymptom::Guan Fu Zhang Men	Symptom::Disease	Disease::MESH:D046349	-0.33907944
TCMsymptom::Hou Zhong	Symptom::Disease	Disease::MESH:D046349	-0.170300946
TCMsymptom::Ru Yong Zhong Tong	Symptom::Disease	Disease::MESH:D046349	-0.181942269
TCMsymptom::Bao Zhu Xia Xie	Symptom::Disease	Disease::MESH:D046349	-0.069641225
TCMsymptom::Bian Xia Nong Xie	Symptom::Disease	Disease::MESH:D046349	-0.034294534
TCMsymptom::Bian Xie	Symptom::Disease	Disease::MESH:D046349	-0.236540481
TCMsymptom::Fen Ci	Symptom::Disease	Disease::MESH:D046349	-0.367345065
TCMsymptom::Yong Ju Nan Kui	Symptom::Disease	Disease::MESH:D046349	-0.317509592
TCMsymptom::Liu Huang Ti	Symptom::Disease	Disease::MESH:D046349	-0.044030681
TCMsymptom::Yan Gan Hou Tong	Symptom::Disease	Disease::MESH:D046349	-0.311202198
TCMsymptom::Yan Hong	Symptom::Disease	Disease::MESH:D046349	-0.127854437
TCMsymptom::Feng Shi Re Bi	Symptom::Disease	Disease::MESH:D046349	-0.228220433
TCMsymptom::Xiao Bian Hun Zhuo	Symptom::Disease	Disease::MESH:D046152	-0.415142983
TCMsymptom::Fu Ren Zang Zao	Symptom::Disease	Disease::MESH:D028922	-0.173440769
TCMsymptom::Dai Xia Se Huang	Symptom::Disease	Disease::MESH:D028922	-0.296407312
TCMsymptom::E Xin	Symptom::Disease	Disease::MESH:D028922	-0.109019719
TCMsymptom::Er Lou	Symptom::Disease	Disease::MESH:D028922	-0.355032593
TCMsymptom::Fa Re	Symptom::Disease	Disease::MESH:D028922	-0.140418306
TCMsymptom::Gan Qu Zhang Tong	Symptom::Disease	Disease::MESH:D028922	-0.03488043
TCMsymptom::Jie Zhong	Symptom::Disease	Disease::MESH:D028922	-0.174223945
TCMsymptom::Liu Huang Chou Ti	Symptom::Disease	Disease::MESH:D028922	-0.150072247
TCMsymptom::Niao Se Chi Huang	Symptom::Disease	Disease::MESH:D028922	-0.369196951
TCMsymptom::Niao Se Pian Huang	Symptom::Disease	Disease::MESH:D028922	-0.126672402
TCMsymptom::Pi Fu Shi Zhen	Symptom::Disease	Disease::MESH:D028922	-0.322107524
TCMsymptom::Sou Tong	Symptom::Disease	Disease::MESH:D028922	-0.227591306
TCMsymptom::Xia Li Chou Hui	Symptom::Disease	Disease::MESH:D028922	-0.057849862
TCMsymptom::Xiao Bian Se Tong	Symptom::Disease	Disease::MESH:D028922	-0.063825533
TCMsymptom::Xiao Bian Tong	Symptom::Disease	Disease::MESH:D028922	-0.349223942
TCMsymptom::Xie Lei Teng Tong	Symptom::Disease	Disease::MESH:D028922	-0.062526025
TCMsymptom::Xiong Fu Zhang Tong	Symptom::Disease	Disease::MESH:D028922	-0.084711961
TCMsymptom::Xiong Ge Pi Men	Symptom::Disease	Disease::MESH:D028922	-0.040172961
TCMsymptom::Xiong Xie Men Tong	Symptom::Disease	Disease::MESH:D028922	-0.061917808
TCMsymptom::Zhi Ti Chen Zhong	Symptom::Disease	Disease::MESH:D028922	-0.064773634
TCMsymptom::Zhi Ti Suan Zhong	Symptom::Disease	Disease::MESH:D028922	-0.156796902
TCMsymptom::Xiao Er Liang Ti	Symptom::Disease	Disease::MESH:D028922	-0.343608946
TCMsymptom::Guan Fu Pi Man Zhang Tong	Symptom::Disease	Disease::MESH:D028922	-0.545773983
TCMsymptom::Huang Shui Lin Li	Symptom::Disease	Disease::MESH:D028922	-0.24839747
TCMsymptom::Guan Xie Zhang Tong	Symptom::Disease	Disease::MESH:D028922	-0.042509895
TCMsymptom::Hou Zhong	Symptom::Disease	Disease::MESH:D028922	-0.237045601
TCMsymptom::Da Bian Gan	Symptom::Disease	Disease::MESH:D028922	-0.404251933
TCMsymptom::Kou Bi Sheng Chuang	Symptom::Disease	Disease::MESH:D028922	-0.136827186
TCMsymptom::Fu Rou Bu Qu	Symptom::Disease	Disease::MESH:D028922	-0.101225249
TCMsymptom::Liang Sai Zhong	Symptom::Disease	Disease::MESH:D028922	-0.341232091
TCMsymptom::Yue Jing Ti Qian	Symptom::Disease	Disease::MESH:D028922	-0.13293457
TCMsymptom::Zhong Du	Symptom::Disease	Disease::MESH:D028922	-0.135413796
TCMsymptom::Tian Pao Chuang	Symptom::Disease	Disease::MESH:D028922	-0.336692184
TCMsymptom::Chang Yong Zhong Tong	Symptom::Disease	Disease::MESH:D028922	-0.169926345
TCMsymptom::Mu Yang	Symptom::Disease	Disease::MESH:D028922	-0.28885141
TCMsymptom::Yan Hou Bu Li	Syndrome::Symptom	Disease::MESH:D028922	-0.1129684
TCMsymptom::Yan Nian Mo Chong Xie	Symptom::Disease	Disease::MESH:D028922	-0.165308475
TCMsymptom::Bu Mei	Syndrome::Symptom	Disease::MESH:D028921	-0.142132431
TCMsymptom::Da Bian Gan Jie Nan Xia	Syndrome::Symptom	Disease::MESH:D028921	-0.081743084
TCMsymptom::Da Bian Nong Xie	Syndrome::Symptom	Disease::MESH:D028921	-0.066583022
TCMsymptom::Kou Gan	Syndrome::Symptom	Disease::MESH:D028921	-0.07884191
TCMsymptom::Kou Ke Xi Yin	Syndrome::Symptom	Disease::MESH:D028921	-0.314328969
TCMsymptom::Kou She Gan Zao	Syndrome::Symptom	Disease::MESH:D028921	-0.230666548
TCMsymptom::Kou She Sheng Chuang	Syndrome::Symptom	Disease::MESH:D028921	-0.497768342
TCMsymptom::Kou Sheng Chuang	Syndrome::Symptom	Disease::MESH:D028921	-0.240454599
TCMsymptom::Mian Hong	Syndrome::Symptom	Disease::MESH:D028921	-0.149157465
TCMsymptom::She Hong	Syndrome::Symptom	Disease::MESH:D028921	-0.051076047
TCMsymptom::Tu Xie	Syndrome::Symptom	Disease::MESH:D028921	-0.087689623
TCMsymptom::Xiao Bian Chi Se	Syndrome::Symptom	Disease::MESH:D028921	-0.065200083
TCMsymptom::Xiao Bian Duan Chi	Syndrome::Symptom	Disease::MESH:D028921	-0.099784389
TCMsymptom::Xin Qi Tong	Syndrome::Symptom	Disease::MESH:D028921	-0.073135063
TCMsymptom::Xie Re	Syndrome::Symptom	Disease::MESH:D028921	-0.222706959
TCMsymptom::Xie Re Tu Niu	Syndrome::Symptom	Disease::MESH:D028921	-0.108728275
TCMsymptom::Ye Liang	Syndrome::Symptom	Disease::MESH:D028921	-0.008448297
TCMsymptom::Bu Mian	Syndrome::Symptom	Disease::MESH:D028921	-0.182216763
TCMsymptom::Fu Ren Zang Zao	Syndrome::Symptom	Disease::MESH:D028921	-0.0356117
TCMsymptom::Xie Re Fa Ban	Syndrome::Symptom	Disease::MESH:D028921	-0.012105045
TCMsymptom::Xie Re Fa Zhen	Syndrome::Symptom	Disease::MESH:D028921	-0.140470549
TCMsymptom::Bian Huang Er Nian	Syndrome::Symptom	Disease::MESH:D028921	-0.062448226
TCMsymptom::Dai Xia Se Huang Zhi Chou	Syndrome::Symptom	Disease::MESH:D028921	-0.466258973
TCMsymptom::Er Dao Liu Nong	Syndrome::Symptom	Disease::MESH:D028921	-0.112424828
TCMsymptom::Er Lou	Syndrome::Symptom	Disease::MESH:D028921	-0.291410983
TCMsymptom::Er Nei Liu Nong	Syndrome::Symptom	Disease::MESH:D028921	-0.054383632
TCMsymptom::Er Xia Zhong Tong	Syndrome::Symptom	Disease::MESH:D028921	-0.254963666
TCMsymptom::Fa Re	Syndrome::Symptom	Disease::MESH:D028921	-0.003377457
TCMsymptom::Fa Shao	Syndrome::Symptom	Disease::MESH:D028921	-0.029422339
TCMsymptom::Fu Zhang	Syndrome::Symptom	Disease::MESH:D028921	-0.02083604
TCMsymptom::Gan Qu Zhang Tong	Syndrome::Symptom	Disease::MESH:D028921	-0.092506334
TCMsymptom::Guan Jie Hong Zhong Re Tong	Syndrome::Symptom	Disease::MESH:D028921	-0.21562095
TCMsymptom::Huang Dan	Syndrome::Symptom	Disease::MESH:D028921	-0.12914373
TCMsymptom::Jie Zhong	Syndrome::Symptom	Disease::MESH:D028921	-0.059300251
TCMsymptom::Kou She Zhong Tong	Syndrome::Symptom	Disease::MESH:D028921	-0.248342201
TCMsymptom::Liang Xie Zhang Tong	Syndrome::Symptom	Disease::MESH:D028921	-0.107021675
TCMsymptom::Liu Huang Chou Ti	Syndrome::Symptom	Disease::MESH:D028921	-0.098637104
TCMsymptom::Liu Nong	Syndrome::Symptom	Disease::MESH:D028921	-0.146477029
TCMsymptom::Mu Huang	Syndrome::Symptom	Disease::MESH:D028921	-0.2816495
TCMsymptom::Na Cha	Syndrome::Symptom	Disease::MESH:D028921	-0.113714725
TCMsymptom::Nian Ye Bian	Syndrome::Symptom	Disease::MESH:D028921	-0.040615369
TCMsymptom::Niao Chi	Syndrome::Symptom	Disease::MESH:D028921	-0.15721418
TCMsymptom::Niao Huang Ru Cha	Syndrome::Symptom	Disease::MESH:D028921	-0.001500239
TCMsymptom::Niao Hun Zhuo	Syndrome::Symptom	Disease::MESH:D028921	-0.1846838
TCMsymptom::Niao Ji	Syndrome::Symptom	Disease::MESH:D028921	-0.203380108
TCMsymptom::Ou Tu	Syndrome::Symptom	Disease::MESH:D028921	-0.184394822
TCMsymptom::Pi Man	Syndrome::Symptom	Disease::MESH:D028921	-0.044593744
TCMsymptom::Pi Men	Syndrome::Symptom	Disease::MESH:D028921	-0.065684207
TCMsymptom::Qian Biao Nong Pao	Syndrome::Symptom	Disease::MESH:D028921	-0.077735238
TCMsymptom::Re Bi Teng Tong	Syndrome::Symptom	Disease::MESH:D028921	-0.000285988
TCMsymptom::Re Lin Zheng	Syndrome::Symptom	Disease::MESH:D028921	-0.193888173
TCMsymptom::She Pang	Syndrome::Symptom	Disease::MESH:D028921	-0.013540112
TCMsymptom::She Ti Pang Da	Syndrome::Symptom	Disease::MESH:D028921	-0.016937619
TCMsymptom::Shen Re	Syndrome::Symptom	Disease::MESH:D028921	-0.08026626
TCMsymptom::Shi Chuang	Symptom::Disease	Disease::MESH:D028921	-0.186431766
TCMsymptom::Shi Chuang Nong Shui Jin Yin	Syndrome::Symptom	Disease::MESH:D028921	-0.068212338
TCMsymptom::Shi Re Du Xie Ju Jie Ji Fu	Syndrome::Symptom	Disease::MESH:D028921	-0.267937392
TCMsymptom::Shi Re Xia Zhu	Syndrome::Symptom	Disease::MESH:D028921	-0.356786251
TCMsymptom::Shi Lin	Syndrome::Symptom	Disease::MESH:D028921	-0.060682569
TCMsymptom::Shi Lin Se Tong	Syndrome::Symptom	Disease::MESH:D028921	-0.095425636
TCMsymptom::Sou Tong	Syndrome::Symptom	Disease::MESH:D028921	-0.187743753
TCMsymptom::Tou Shen Kun Zhong	Syndrome::Symptom	Disease::MESH:D028921	-0.017849017
TCMsymptom::Wai Yin Hong Zhong	Syndrome::Symptom	Disease::MESH:D028921	-0.004386825
TCMsymptom::Guan Fu Pi Man	Syndrome::Symptom	Disease::MESH:D028921	-0.300842434
TCMsymptom::Xi Suan Tong	Syndrome::Symptom	Disease::MESH:D028921	-0.012164375
TCMsymptom::Xia Fu Zhang Tong	Syndrome::Symptom	Disease::MESH:D028921	-0.271337807
TCMsymptom::Xia Li Nong Xie	Syndrome::Symptom	Disease::MESH:D028921	-0.336468726
TCMsymptom::Xia Xie	Syndrome::Symptom	Disease::MESH:D028921	-0.04010053
TCMsymptom::Xiao Bian Di Li Bu Jing	Syndrome::Symptom	Disease::MESH:D028921	-0.129490674
TCMsymptom::Xiao Bian Huang Shao	Syndrome::Symptom	Disease::MESH:D028921	-0.109100394
TCMsymptom::Xiao Bian Hun Zhuo	Syndrome::Symptom	Disease::MESH:D028921	-0.083677977
TCMsymptom::Xiao Bian Lin Zhuo	Syndrome::Symptom	Disease::MESH:D028921	-0.132173419
TCMsymptom::Xiao Bian Se Tong	Syndrome::Symptom	Disease::MESH:D028921	-0.083703592
TCMsymptom::Xiao Bian Tong	Syndrome::Symptom	Disease::MESH:D028921	-0.043869425
