Thyrotoxicosis	D013971
Abetalipoproteinemia	D000012
Multiple Endocrine Neoplasia Type 1	D018761
Kanzaki Disease	C536631
Alpha-N-Acetylgalactosaminidase Deficiency Type 1	C536631
Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease	C563789
Parathyroid Carcinoma	D010282
1P36 Deletion Syndrome	C535362
Carney-Stratakis Syndrome	C564650
Gastrointestinal Stromal Tumor	D046152
Neurodegeneration With Brain Iron Accumulation 3	C548080
Maternally-Inherited Diabetes And Deafness	C536246
Rett Syndrome	D015518
Oculocerebrorenal Syndrome Of Lowe	D009800
Alpha-Thalassemia-X-Linked Intellectual Disability Syndrome	C538258
Smith-Magenis Syndrome	D058496
Septo-Optic Dysplasia Spectrum	D025962
Liddle Syndrome	D056929
Paroxysmal Extreme Pain Disorder	C563475
Jacobsen Syndrome	D054868
Hyperparathyroidism-Jaw Tumor Syndrome	C563273
Malt Lymphoma	D018442
Floating-Harbor Syndrome	C537062
Epidermolysis Bullosa Simplex, Dowling-Meara Type	D016110
Ehlers-Danlos Syndrome, Hypermobility Type	C536196
Prune Belly Syndrome	D011535
Cholangiocarcinoma	D001650
Follicular Lymphoma	D008224
Pyogenic Bacterial Infections Due To Myd88 Deficiency	C567379
Malaria	D016779
Majeed Syndrome	C537839
Granulomatosis With Polyangiitis	D014890
Cinca Syndrome	D056587
Lymphangioleiomyomatosis	D018192
Pyogenic Arthritis-Pyoderma Gangrenosum-Acne Syndrome	C536253
Ectodermal Dysplasia 1, Hypohidrotic, X-Linked	D053358
Muckle-Wells Syndrome	D056587
Cyclic Neutropenia	C536227
Caffey Disease	D006958
Hartnup Disease	D006250
Choreoacanthocytosis	D054546
Diabetes Mellitus, Non-Insulin-Dependent	D003924
Tooth Abnormalities	D014071
Methemoglobinemia	D008708
Dens In Dente	D003719
Myocardial Ischemia	D017202
Microstomia	D008865
Tooth Mobility	D014086
Coronary Arteriosclerosis	D003324
Diabetes Mellitus, Insulin-Dependent	D003922
Discoloration Tooth	D014075
Mental Disorders	D001523
Dental Enamel Hypoplasia	D003744
Heart Failure	D006333
Leukemia	D007938
Myocardial Infarction	D009203
Gingivitis	D005891
Sinusitis	D012852
Congestive Heart Failure	D006333
Glaucomas	D005901
Pancreatitis	D010195
Asthma	D001249
Anemia	D000740
Hypertensive Disease	D006973
Coronary Artery Disease	D003324
Mental Depression	D003863
Migraine Disorders	D008881
Squamous Cell Carcinoma	D002294
Periodontitis, Aggressive, 1	D010520
Alcoholic Intoxication, Chronic	D000437
Stroke	D020521
Prostatic Neoplasms	D011471
Prostatic Intraepithelial Neoplasias	D019048
Prostate Cancer, Hereditary, 1	C537243
Prostate Cancer	D011471
Pharyngeal Neoplasms	D010610
Pancreatic Neoplasm	D010190
Pancreatic Cancer	C562463
Osteoporosis, Postmenopausal	D015663
Noninfiltrating Intraductal Carcinoma	D002285
Nervous System Disorder	D009422
Neoplastic Cell Transformation	D002471
Neoplasm Recurrence, Local	D009364
Mood Disorders	D019964
Mitral Valve Prolapse Syndrome	D008945
Marijuana Abuse	D002189
Mammary Neoplasms	D002549
Malignant Neoplasm Of Pancreas	D010190
Malignant Neoplasm Of Breast	D001943
Major Depressive Disorder	D003865
Liver Neoplasms	D008113
Liver Cirrhosis, Experimental	D008106
Liver Carcinoma	D006528
Kidney Diseases	D007674
Intellectual Disability	D008607
Inflammatory Bowel Diseases	D015212
Inflammation	D007249
Hypertension, Essential	C562386
Hyperglycemia	D006943
Glioblastoma Multiforme	D005909
Glioblastoma	D005909
Gastroesophageal Reflux Disease	D005764
Gastric Ulcer	D013276
Fibrosis	D005355
Familial Alzheimer Disease (Fad)	D000544
Esophageal Neoplasms	D004938
Endometrial Neoplasms	D016889
Endometrial Cancer	D016889
Digestive System Neoplasms	D004067
Diabetes Mellitus, Experimental	D003921
Diabetes Mellitus	D003920
Depressive Disorder	D003866
Crohn Disease	D003424
Congenital Heart Defects	D006330
Colorectal Neoplasms	D015179
Colonic Neoplasms	D003110
Colitis	D003092
Cognition Disorders	D003072
Cns Disorder	D002493
Chronic Obstructive Airway Disease	D029424
Cerebrovascular Accident	D020521
Cardiomyopathy, Dilated, 1A	D002311
Cardiomyopathies	D009202
Cardiac Arrhythmia	D001145
Carcinoma, Endometrioid	D018269
Bronchial Hyperreactivity	D016535
Brain Ischemia	D002545
Autoinflammation, Lipodystrophy, And Dermatosis Syndrome	C538334
Autistic Disorder	D001321
Atherosclerosis	D050197
Asthma, Exercise-Induced	D001250
Angioedema	D000799
Adenoma	D000236
Acute Kidney Injury	D058186
